,nbBlocks,txCount,txWOreward,meanBlockTime,MinBlockTime,10PercentBlockTime,30PercentBlockTime,medianBlockTime,70PercentBlockTime,90PercentBlockTime,MaxBlockTime
2022-03-20,445,2996,2551,28.247191011235955,0.0,3.0,10.0,19.0,33.799999999999955,64.20000000000005,198.0
2022-03-19,2913,35621,32708,29.635770683144525,0.0,3.0,9.0,19.0,33.0,70.0,366.0
2022-03-18,2914,38085,35171,29.663006177076184,0.0,3.0,10.0,20.0,35.0,68.0,327.0
2022-03-17,2842,39889,37047,30.40042223786066,0.0,3.0,10.0,19.0,35.0,70.0,413.0
2022-03-16,2881,49740,46859,30.01596667823672,0.0,3.0,10.0,20.0,35.0,70.0,266.0
2022-03-15,2916,40099,37183,29.63065843621399,0.0,3.0,9.0,19.0,33.0,71.0,419.0
2022-03-14,2839,42430,39591,30.43853469531525,0.0,3.0,10.0,19.0,34.0,72.0,324.0
2022-03-13,2791,34626,31835,30.961304192045866,0.0,3.0,10.0,20.0,37.0,72.0,275.0
2022-03-12,2897,30043,27146,29.775629962029686,0.0,3.0,9.799999999999956,19.0,33.0,69.0,361.0
2022-03-11,2932,36149,33217,29.46862210095498,0.0,3.0,9.0,19.0,33.0,68.0,365.0
2022-03-10,2911,38969,36058,29.744074201305395,0.0,3.0,10.0,19.0,33.0,70.0,352.0
2022-03-09,2759,45071,42312,31.27546212395796,0.0,3.0,10.0,20.0,37.0,76.0,303.0
2022-03-08,3197,40707,37510,27.02502345949328,0.0,2.0,8.0,17.0,32.0,61.40000000000009,289.0
2022-03-07,2727,47454,44727,31.657499083241657,0.0,3.0,10.0,20.0,36.19999999999982,77.0,357.0
2022-03-06,2801,34718,31917,30.867190289182435,0.0,3.0,10.0,20.0,36.0,72.0,321.0
2022-03-05,2793,33598,30805,30.915861081274617,0.0,3.0,10.0,20.0,37.0,71.0,362.0
2022-03-04,3132,43962,40830,27.62037037037037,0.0,3.0,9.0,17.0,30.0,64.0,236.0
2022-03-03,3106,39925,36819,27.80296200901481,0.0,3.0,9.0,18.0,31.0,65.0,291.0
2022-03-02,3120,37680,34560,27.685576923076923,0.0,3.0,8.0,17.0,31.0,66.0,283.0
2022-03-01,2735,44250,41515,31.57440585009141,0.0,3.0,10.0,20.0,37.0,72.0,443.0
2022-02-28,2713,44875,42162,31.88094360486546,0.0,3.0,10.0,20.0,36.0,74.0,386.0
2022-02-27,2703,38486,35783,31.93562708102109,0.0,3.0,10.0,21.0,36.0,73.0,421.0
2022-02-26,2857,37054,34197,30.257612880644032,0.0,3.0,10.0,20.0,35.0,71.0,294.0
2022-02-25,2787,47013,44226,30.985288841047723,0.0,3.0,10.0,19.0,35.0,73.40000000000009,401.0
2022-02-24,2784,57691,54907,31.03699712643678,0.0,3.0,10.0,20.0,35.0,72.0,368.0
2022-02-23,2868,41615,38747,30.12308228730823,0.0,3.0,10.0,19.0,34.0,66.0,2396.0
2022-02-22,2890,44846,41956,29.883391003460208,0.0,3.0,9.0,19.0,33.0,69.0,335.0
2022-02-21,2922,52362,49440,29.60130047912389,0.0,3.0,9.0,19.0,35.0,69.0,289.0
2022-02-20,2868,51137,48269,30.139121338912133,0.0,3.0,9.0,18.0,33.0,73.0,304.0
