,DMCfeeBurned,DMCfeePriority
2023-10-28 20:27:43.688551,2549.28498442,5849.36579766
2023-10-28 20:28:56.186303,2549.28498442,5849.36579766
2023-10-29 16:02:05.744132,2549.73954247,5849.73318902
2023-10-29 17:02:01.850935,2549.7647244,5849.74817184
2023-10-29 18:02:13.306934,2549.80969801,5849.77456674
2023-10-29 19:01:49.966696,2549.86914329,5849.81241945
2023-10-29 20:01:58.436824,2549.96291855,5849.84218338
2023-10-29 21:01:52.340656,2549.98510125,5849.85648011
2023-10-29 22:01:51.530895,2550.01081484,5849.87270899
2023-10-29 23:02:11.002070,2550.06760499,5849.89242248
2023-10-30 00:08:38.863690,2550.08076192,5849.89636952
2023-10-30 01:03:11.978658,2550.08828032,5849.89862501
2023-10-30 02:02:52.572515,2550.09955786,5849.90200823
2023-10-30 03:02:30.825745,2550.1110454,5849.91568145
2023-10-30 04:02:57.089265,2550.12232294,5849.91906467
2023-10-30 05:02:33.315413,2550.13548023,5849.9230118
2023-10-30 06:02:34.343525,2550.14362863,5849.95613729
2023-10-30 07:02:12.382183,2550.27518044,5864.5210248
2023-10-30 08:02:22.023844,2550.29755286,5864.55661656
2023-10-30 09:02:01.231723,2550.30977529,5864.58037658
2023-10-30 10:02:08.467791,2550.36565439,5864.6082912
2023-10-30 11:02:09.542998,2550.39092264,5864.61431198
2023-10-30 12:02:38.024753,2550.41273893,5864.61928168
2023-10-30 13:02:28.239325,2550.4541434,5864.63420003
2023-10-30 14:02:31.584793,2550.51720777,5864.64506932
2023-10-30 15:02:05.378695,2550.54568981,5864.6694047
2023-10-30 16:02:30.882126,2550.60032182,5864.68842034
2023-10-30 17:02:25.646025,2550.62822797,5864.69429782
2023-10-30 18:02:24.187440,2550.64022728,5864.69778931
2023-10-30 19:02:00.049152,2550.65445054,5864.70161436
2023-10-30 20:02:02.652718,2551.050406,5864.77295776
2023-10-30 21:02:06.961267,2551.06482162,5864.77681168
2023-10-30 22:02:05.035885,2551.09505202,5864.80355484
2023-10-30 23:02:29.958612,2551.10695956,5864.83780806
2023-10-31 00:06:55.675071,2551.12011625,5864.84175504
2023-10-31 01:03:32.673916,2551.12951404,5864.84457435
2023-10-31 02:02:32.693549,2551.17932822,5864.85373805
2023-10-31 03:02:27.071875,2551.25632893,5864.86694742
2023-10-31 04:02:30.898601,2551.2717573,5864.87136834
2023-10-31 05:02:22.470942,2551.28512459,5864.88560547
2023-10-31 06:02:39.893302,2551.2949866,5864.88849442
2023-10-31 07:02:09.378186,2551.41705373,5864.91869606
2023-10-31 08:02:31.962632,2551.44680353,5864.94536708
2023-10-31 09:01:52.622912,2551.46067947,5864.96866683
2023-10-31 10:02:07.620579,2551.52978847,5865.00779109
2023-10-31 11:02:00.409949,2551.71768448,5865.094872
2023-10-31 12:02:27.246060,2551.97520754,5870.43295209
2023-10-31 13:02:10.222966,2552.33854367,5870.53003702
2023-10-31 14:02:29.059732,2552.35793296,5870.55635624
2023-10-31 15:01:59.573144,2552.46706708,5870.62683794
2023-10-31 16:02:18.422494,2552.59428399,5870.66812904
2023-10-31 17:01:54.588926,2552.67682164,5870.76715926
2023-10-31 18:02:37.613932,2552.69849354,5870.80287713
2023-10-31 19:01:53.515862,2552.75950605,5870.81343867
2023-10-31 20:01:57.612360,2553.12865678,5870.9009964
2023-10-31 21:02:21.609259,2553.17603553,5870.94000644
2023-10-31 22:02:14.387868,2553.20974724,5870.94647286
2023-10-31 23:02:33.737530,2553.25319314,5870.99654916
2023-11-01 00:06:22.273315,2553.27063525,5871.01106336
2023-11-01 01:03:53.119277,2553.28585702,5871.01475626
2023-11-01 02:02:43.748025,2553.29713456,5871.01813947
2023-11-01 03:02:37.267115,2553.37176968,5871.02152269
2023-11-01 04:02:55.294499,2553.3874776,5871.03519594
2023-11-01 05:02:36.990848,2553.39875514,5871.03857916
2023-11-01 06:02:41.493023,2553.41528399,5871.04285536
2023-11-01 07:02:06.836091,2553.55372107,5871.08565283
2023-11-01 08:02:29.897247,2553.70866306,5871.12412712
2023-11-01 09:01:53.641023,2553.7377695,5871.13046623
2023-11-01 10:02:21.710128,2553.90129961,5871.1748556
2023-11-01 11:01:55.186283,2553.91537844,5871.19861179
2023-11-01 12:02:32.195143,2553.96713685,5871.21860724
2023-11-01 13:02:04.500787,2554.00805993,5871.23556805
2023-11-01 14:02:29.558370,2554.02152533,5871.25979612
2023-11-01 15:01:58.782263,2554.04487534,5871.31144292
2023-11-01 16:02:24.284572,2554.1079981,5871.33365973
2023-11-01 17:02:01.573247,2554.11823329,5871.35773113
2023-11-01 18:02:23.944989,2554.13638514,5871.3627258
2023-11-01 19:02:06.389244,2554.15209781,5871.37704352
2023-11-01 20:02:07.188301,2554.18347943,5871.82621225
2023-11-01 21:02:06.134336,2554.21172362,5871.84282094
2023-11-01 22:02:18.671894,2554.24813154,5871.87082517
2023-11-01 23:02:26.345406,2554.27440772,5871.88756216
2023-11-02 01:03:02.947805,2554.31625285,5871.92900082
2023-11-02 02:02:35.743767,2554.32782759,5871.93357284
2023-11-02 03:02:16.208023,2554.33752282,5871.93758101
2023-11-02 04:02:50.377071,2554.34947726,5871.94220999
2023-11-02 05:02:15.383954,2554.36105176,5871.9467815
2023-11-02 06:02:40.345223,2554.530219,5872.00341768
2023-11-02 07:02:23.543266,2554.56172866,5872.02113243
2023-11-02 08:02:24.982050,2554.65464608,5872.06367367
2023-11-02 09:02:00.906180,2554.72266922,5872.07094587
2023-11-02 10:01:58.345272,2554.76461741,5872.1000482
2023-11-02 11:01:59.724108,2554.8631815,5872.15965232
2023-11-02 12:02:26.233131,2554.90819976,5872.20980457
2023-11-02 13:02:11.930283,2554.92149002,5872.28555041
2023-11-02 14:02:25.136221,2554.96026438,5872.44786212
2023-11-02 15:01:53.845912,2554.98571596,5872.58731227
2023-11-02 16:02:14.524756,2555.04825456,5872.80478051
2023-11-02 17:01:49.791138,2555.08264819,5872.9009003
2023-11-02 18:02:23.208961,2555.1051455,5873.19336197
2023-11-02 19:01:51.824062,2555.1186851,5873.28949941
2023-11-02 20:01:57.023315,2555.28679418,5873.4302831
2023-11-02 21:02:02.481292,2555.3014769,5873.48356457
2023-11-02 22:02:24.699618,2555.33537235,5873.51355835
2023-11-02 23:02:28.883664,2555.35447136,5873.52597163
2023-11-03 00:06:37.018147,2555.38671209,5873.5423588
2023-11-03 01:02:50.345239,2555.39503007,5873.54635121
2023-11-03 02:02:48.079539,2555.4094716,5873.55658988
2023-11-03 03:02:30.134901,2555.43633906,5873.58231008
2023-11-03 04:02:59.865301,2555.44873436,5873.60261132
