timeRounded,FSMinted_USD_DUSD,FSBurned_USD_DUSD,FSMinted_USD_dToken,FSBurned_USD_dToken
2021-11-28 21:00:00,,,,
2021-11-28 22:00:00,,,,
2021-11-28 23:00:00,,,,
2021-11-29 00:00:00,,,,
2021-11-29 01:00:00,,,,
2021-11-29 02:00:00,,,,
2021-11-29 03:00:00,,,,
2021-11-29 04:00:00,,,,
2021-11-29 05:00:00,,,,
2021-11-29 06:00:00,,,,
2021-11-29 07:00:00,,,,
2021-11-29 08:00:00,,,,
2021-11-29 09:00:00,,,,
2021-11-29 10:00:00,,,,
2021-11-29 11:00:00,,,,
2021-11-29 12:00:00,,,,
2021-11-29 13:00:00,,,,
2021-11-29 14:00:00,,,,
2021-11-29 15:00:00,,,,
2021-11-29 16:00:00,,,,
2021-11-29 17:00:00,,,,
2021-11-29 18:00:00,,,,
2021-11-29 19:00:00,,,,
2021-11-29 20:00:00,,,,
2021-11-29 21:00:00,,,,
2021-11-29 22:00:00,,,,
2021-11-29 23:00:00,,,,
2021-11-30 00:00:00,,,,
2021-11-30 01:00:00,,,,
2021-11-30 02:00:00,,,,
2021-11-30 03:00:00,,,,
2021-11-30 04:00:00,,,,
2021-11-30 05:00:00,,,,
2021-11-30 06:00:00,,,,
2021-11-30 07:00:00,,,,
2021-11-30 08:00:00,,,,
2021-11-30 09:00:00,,,,
2021-11-30 10:00:00,,,,
2021-11-30 11:00:00,,,,
2021-11-30 12:00:00,,,,
2021-11-30 13:00:00,,,,
2021-11-30 14:00:00,,,,
2021-11-30 15:00:00,,,,
2021-11-30 16:00:00,,,,
2021-11-30 17:00:00,,,,
2021-11-30 18:00:00,,,,
2021-11-30 19:00:00,,,,
2021-11-30 20:00:00,,,,
2021-11-30 21:00:00,,,,
2021-11-30 22:00:00,,,,
2021-11-30 23:00:00,,,,
2021-12-01 00:00:00,,,,
2021-12-01 01:00:00,,,,
2021-12-01 02:00:00,,,,
2021-12-01 03:00:00,,,,
2021-12-01 04:00:00,,,,
2021-12-01 05:00:00,,,,
2021-12-01 06:00:00,,,,
2021-12-01 07:00:00,,,,
2021-12-01 08:00:00,,,,
2021-12-01 09:00:00,,,,
2021-12-01 10:00:00,,,,
2021-12-01 11:00:00,,,,
2021-12-01 12:00:00,,,,
2021-12-01 13:00:00,,,,
2021-12-01 14:00:00,,,,
2021-12-01 15:00:00,,,,
2021-12-01 16:00:00,,,,
2021-12-01 17:00:00,,,,
2021-12-01 18:00:00,,,,
2021-12-01 19:00:00,,,,
2021-12-01 20:00:00,,,,
2021-12-01 21:00:00,,,,
