,DFIPrices,DFIPricesBittrex,Time,commission,customRewards,idTokenA,idTokenB,numberAddresses,reserveA,reserveA/reserveB,reserveB,reserveB/reserveA,symbol,totalLiquidity
0,0.00086615,,2020-12-12 18:02:01.801455,0.002,,1.0,0.0,,879.15022436,0.00088341,995171.521475,1131.96982028,ETH-DFI,29584.45527044
1,2.607e-05,,2020-12-12 18:02:01.801455,0.002,,2.0,0.0,,184.22723173,2.543e-05,7244288.38267877,39322.57090686,BTC-DFI,36547.37451901
2,0.481977,,2020-12-12 18:02:01.801455,0.002,,3.0,0.0,,235409.95068451,0.48406408,486319.80035169,2.06584215,USDT-DFI,338585.12190265
3,0.0008452999999999,,2020-12-12 19:01:50.725744,0.002,,1.0,0.0,,879.09938941,0.00088286,995737.04925324,1132.67858133,ETH-DFI,29592.00449666
4,2.552e-05,,2020-12-12 19:01:50.725744,0.002,,2.0,0.0,,184.3764584,2.537e-05,7266459.39641085,39410.99346125,BTC-DFI,36618.07885132
5,0.477012,,2020-12-12 19:01:50.725744,0.002,,3.0,0.0,,235412.2624534,0.48406408,486324.57610133,2.06584215,USDT-DFI,338588.44687063
6,0.00083168,,2020-12-12 20:01:44.524500,0.002,,1.0,0.0,,878.92165169,0.0008824999999999,995939.71243343,1133.13821603,ETH-DFI,29592.02385113
7,2.513e-05,,2020-12-12 20:01:44.524500,0.002,,2.0,0.0,,184.5185599,2.539e-05,7265438.27966908,39375.10830133,BTC-DFI,36629.61314579
8,0.471533,,2020-12-12 20:01:44.524500,0.002,,3.0,0.0,,235394.81244733,0.48399232,486360.62773192,2.06614845,USDT-DFI,338588.44687065
9,0.00082579,,2020-12-12 21:02:02.908867,0.002,,1.0,0.0,,876.26031502,0.00087683,999350.02310926,1140.47162239,ETH-DFI,29597.73291813
10,2.5e-05,,2020-12-12 21:02:02.908867,0.002,,2.0,0.0,,184.54355531,2.539e-05,7265503.68252452,39370.12956274,BTC-DFI,36632.25890088
11,0.468938,,2020-12-12 21:02:02.908867,0.002,,3.0,0.0,,235395.15283305,0.48377391,486580.91611601,2.06708128,USDT-DFI,338665.3618516
12,0.00082207,,2020-12-12 22:01:48.322677,0.002,,1.0,0.0,,874.37963946,0.00087301,1001559.18100489,1145.45116995,ETH-DFI,29598.61488976
13,2.497e-05,,2020-12-12 22:01:48.322677,0.002,,2.0,0.0,,184.58160605,2.536e-05,7277596.32840251,39427.52739095,BTC-DFI,36666.50894412
14,0.4684970000000001,,2020-12-12 22:01:48.322677,0.002,,3.0,0.0,,235431.36121648,0.48377391,486655.76178793,2.06708128,USDT-DFI,338717.45521515
15,0.00082408,,2020-12-12 23:02:06.736252,0.002,,1.0,0.0,,872.1444041000003,0.00086856,1004126.0971488,1151.33009215,ETH-DFI,29598.61490768
16,2.497e-05,,2020-12-12 23:02:06.736252,0.002,,2.0,0.0,,184.68770023,2.534e-05,7286705.39592761,39454.19964,BTC-DFI,36699.99086922
17,0.4714609999999999,,2020-12-12 23:02:06.736252,0.002,,3.0,0.0,,235429.57830617,0.48363099,486795.88519766,2.06769212,USDT-DFI,338764.925631
18,0.0008362,,2020-12-13 00:03:08.460532,0.002,,1.0,0.0,,872.1444041000003,0.00086856,1004126.0971488,1151.33009215,ETH-DFI,29598.61490768
19,2.527e-05,,2020-12-13 00:03:08.460532,0.002,,2.0,0.0,,184.76677884,2.531e-05,7297732.10995908,39496.99267246,BTC-DFI,36735.60936938
20,0.475267,,2020-12-13 00:03:08.460532,0.002,,3.0,0.0,,235429.57830617,0.48363099,486795.88519766,2.06769212,USDT-DFI,338764.925631
21,0.00085464,,2020-12-13 01:02:25.991067,0.002,,1.0,0.0,,872.18194846,0.00086856,1004169.32310026,1151.33009215,ETH-DFI,29599.88907861
22,2.578e-05,,2020-12-13 01:02:25.991067,0.002,,2.0,0.0,,184.81752443,2.531e-05,7300014.90895117,39498.4995685,BTC-DFI,36746.3996426
23,0.483496,,2020-12-13 01:02:25.991067,0.002,,3.0,0.0,,235429.57830617,0.48238805,488050.18012267,2.07301981,USDT-DFI,339201.08150417
24,0.00085255,,2020-12-13 02:02:12.590917,0.002,,1.0,0.0,,872.96836818,0.00086822,1005467.68806664,1151.78020729,ETH-DFI,29632.36911453
25,2.57e-05,,2020-12-13 02:02:12.590917,0.002,,2.0,0.0,,184.81795714,2.531e-05,7300340.18597738,39500.16707763,BTC-DFI,36747.26133156
26,0.483174,,2020-12-13 02:02:12.590917,0.002,,3.0,0.0,,235409.54600825,0.48191097,488491.77670474,2.07507208,USDT-DFI,339340.06657434
27,0.00085614,,2020-12-13 03:02:10.442929,0.002,,1.0,0.0,,873.67851654,0.00086843,1006034.24996828,1151.49248942,ETH-DFI,29652.77029353
28,2.576e-05,,2020-12-13 03:02:10.442929,0.002,,2.0,0.0,,185.03473895,2.534e-05,7301515.84345776,39460.24343802,BTC-DFI,36771.76685616
29,0.484675,,2020-12-13 03:02:10.442929,0.002,,3.0,0.0,,235409.54600825,0.48171411,488691.39709401,2.07592005,USDT-DFI,339409.39453486
30,0.00085499,,2020-12-13 04:02:36.547643,0.002,,1.0,0.0,,923.26475436,0.00086843,1063132.43039688,1151.49248942,ETH-DFI,31335.73409767
31,2.574e-05,,2020-12-13 04:02:36.547643,0.002,,2.0,0.0,,196.58422801,2.534e-05,7757747.35624963,39462.71496335,BTC-DFI,39068.208587
32,0.483515,,2020-12-13 04:02:36.547643,0.002,,3.0,0.0,,241409.54600825,0.48162559,501239.03092848,2.07630161,USDT-DFI,348092.07651469
33,0.00084305,,2020-12-13 05:02:41.980470,0.002,,1.0,0.0,,923.19706725,0.0008667999999999,1065051.27966038,1153.65539757,ETH-DFI,31362.85059275
34,2.542e-05,,2020-12-13 05:02:41.980470,0.002,,2.0,0.0,,197.36063412,2.534e-05,7788472.56963968,39463.1513238,BTC-DFI,39222.72467324
35,0.4793739999999999,,2020-12-13 05:02:41.980470,0.002,,3.0,0.0,,242180.02807018,0.48320324,501197.02114726,2.06952251,USDT-DFI,348632.50817983
36,0.00083934,,2020-12-13 06:02:00.712285,0.002,,1.0,0.0,,923.29762676,0.0008667999999999,1065167.29068731,1153.65539758,ETH-DFI,31366.26680039
37,2.534e-05,,2020-12-13 06:02:00.712285,0.002,,2.0,0.0,,197.96890018,2.542e-05,7785910.75296524,39328.95897227,BTC-DFI,39276.65923573
38,0.478247,,2020-12-13 06:02:00.712285,0.002,,3.0,0.0,,242180.03557295,0.48204112,502405.34409502,2.07451181,USDT-DFI,349052.51514906
39,0.00083878,,2020-12-13 07:01:53.961603,0.002,,1.0,0.0,,923.29599249,0.00086602,1066132.81822298,1154.70317958,ETH-DFI,31380.45150769
40,2.533e-05,,2020-12-13 07:01:53.961603,0.002,,2.0,0.0,,198.06743011,2.542e-05,7790444.81166447,39332.28601662,BTC-DFI,39297.86938355
41,0.4797329999999999,,2020-12-13 07:01:53.961603,0.002,,3.0,0.0,,242180.34518963,0.48154358,502925.08107683,2.07665523,USDT-DFI,349233.23866447
42,0.00083138,,2020-12-13 08:01:52.325522,0.002,,1.0,0.0,,923.37622975,0.00086602,1066225.46844136,1154.70317958,ETH-DFI,31383.17856535
43,2.503e-05,,2020-12-13 08:01:52.325522,0.002,,2.0,0.0,,198.08580874,2.541e-05,7792727.42260955,39340.16006587,BTC-DFI,39305.44955779
44,0.481728,,2020-12-13 08:01:52.325522,0.002,,3.0,0.0,,242180.36509475,0.48154358,502925.1224129001,2.07665523,USDT-DFI,349233.2673684
45,0.00084226,,2020-12-13 09:01:44.974142,0.002,,1.0,0.0,,923.3947752,0.00086602,1066246.88293544,1154.70317958,ETH-DFI,31383.8088774
46,2.539e-05,,2020-12-13 09:01:44.974142,0.002,,2.0,0.0,,198.06629984,2.541e-05,7794145.21674668,39351.19312595,BTC-DFI,39307.08915069
47,0.48833,,2020-12-13 09:01:44.974142,0.002,,3.0,0.0,,241969.22473191,0.4812562,502786.70647119,2.07789526,USDT-DFI,349032.95731861
