,QuantumLiquEthereum_Cold_DFI,QuantumLiquEthereum_Cold_ETH,QuantumLiquEthereum_Cold_EUROC,QuantumLiquEthereum_Cold_USDC,QuantumLiquEthereum_Cold_USDT,QuantumLiquEthereum_Cold_WBTC,QuantumLiquEthereum_Hot_DFI,QuantumLiquEthereum_Hot_ETH,QuantumLiquEthereum_Hot_EUROC,QuantumLiquEthereum_Hot_USDC,QuantumLiquEthereum_Hot_USDT,QuantumLiquEthereum_Hot_WBTC
2023-03-13 21:20:56.963409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2989.003703,2.8007,1600.000103,0.00930569
2023-03-13 21:23:41.388834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2989.003703,2.8007,1600.000103,0.00930569
2023-03-13 21:02:22.834680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2989.003703,2.8007,1600.000103,0.00930569
2023-03-13 22:01:51.965983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2989.003703,2.8007,1600.000103,0.00930569
2023-03-13 23:01:52.339226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2989.003703,2.8007,1600.000103,0.00930569
2023-03-14 00:04:35.755414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2989.003703,2.8007,1600.000103,0.00930569
2023-03-14 01:02:11.308692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2989.003703,2.8007,1600.000103,0.00930569
2023-03-14 02:01:52.857723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2989.003703,2.8007,1600.000103,0.00930569
2023-03-14 03:01:51.978587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2989.003703,2.8007,1600.000103,0.00930569
2023-03-14 04:02:50.710698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2990.003703,2.8007,1600.000103,0.00930569
2023-03-14 05:02:11.156881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2990.003703,2.8007,1600.000103,0.00930569
2023-03-14 06:01:56.852599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2990.003703,2.8007,1500.300103,0.00930569
2023-03-14 07:02:13.419954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2990.003703,2.8007,1400.600103,0.00930569
2023-03-14 08:02:01.429572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2990.003703,2.8007,1390.630103,0.00930569
2023-03-14 09:02:00.705551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2990.003703,2.8007,902.100103,0.00930569
2023-03-14 10:01:42.654565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,2990.003703,2.8007,902.100103,0.00930569
2023-03-14 11:01:37.007853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,3642.901493,2.8007,323.840103,0.00930569
2023-03-14 12:02:12.448821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,5681.676893,2.8007,323.840103,0.00930569
2023-03-14 13:01:47.329886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,6676.471473,2.8007,323.840103,0.00930569
2023-03-14 14:02:07.792295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,6769.280663,2.8007,323.840103,0.00930569
2023-03-14 15:01:41.783548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19593873,6769.280663,2.8007,323.840103,0.00930569
2023-03-14 17:01:29.572892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19494173,6983.280663,2.8007,323.840103,0.00930569
2023-03-14 18:01:25.923153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19494173,6983.280663,2.8007,323.840103,0.00930569
2023-03-14 19:01:27.973525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49494173,6983.280663,2.8007,323.840103,0.00930569
2023-03-14 20:01:44.183181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49494173,6983.280663,2.8007,323.840103,0.00930569
2023-03-14 21:02:07.431828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49494173,8010.742222999999,2.8007,323.840103,0.00930569
