address,balance,mnAddress
dJEbxbfufyPF14SC93yxiquECEfq4YSd9L,273713999.9999,False
dZcHjYhKtEM88TtZLjp314H2xZjkztXtRc,9907481.99608917,False
dP9GB7r5BHHqeNjGQr3GKVhd56PiXesBCh,3772040.69122174,False
8HneKgGDnvrYRBkyRA4uTmyEAR9DXWNJHJ,1304231.09624364,True
8GZvfoSDk1hW2BQKziUqzghEErKciuxVb3,1304200.90625478,True
8R4RbWzW2ntoSFR2gw4qjFENkmDvXXUNYK,1303586.2917188,True
8KNAr7DFGHYWjhbYWzttR3imJEKSbBg3ED,1301205.79984343,True
8FqapPqJPtfu5x8Q8z5r5qHNoemsQJoCat,1293626.01985995,True
8PNruTxeVCQVKVVAEn2DjpAPY72ZHQpLjA,1293391.05726697,True
8aHx6hKWzsBDhzWhJXoH5MT9bXBonk8XAi,1289965.89335405,True
8NeXnnxfaiYJVkrP9AfHPyphNUu1nekAhj,1287220.66303838,True
8Jq5mGaDhjjvzwDBZ1KJByanhPDznY83zq,1286305.86059788,True
8Sf5iz19CttuRTnkVCucTLcSKtzj34vNQm,1286230.89708282,True
8Jwby2zCyPjX363JJzxYfKR2HwMCe73w5t,1286215.72221874,True
8YJooCF2HUJek69RR76TYdoYcLsP1993nU,1285900.78332701,True
8eK97Mv7GcqkBTuTyRWD4kCBX3Nxk6pg4Y,1285345.66793775,True
8LbEfZ6S3Ly76o3uHNr9p8DdX8BmWMk7bQ,1283845.88252181,True
8crsgK9L83SbbETxGEQXai72j9FDqkpj9E,1281690.8530426,True
8YGok1UussFwLQDhqCy6GCCVsPpb5wWKd5,1280500.92481898,True
8aNtjfQD3NnyGWrR3LbrurSinY5rUZdJ2H,1280455.84487287,True
8bPQdtuwZ7JAswvVdeFg2Nq96XaLAPXxFS,1278340.76854498,True
8TS5zi3c9UGtKR45hDfHR15kkcpoctGw6L,1278205.73824207,True
8FQdYATtGcZxSxhM1zYPzBfvEoCZmhSET9,1277275.85672101,True
8U54a5imXzwp3osKe8TpwnyVk33DiKdT6K,1276810.90234273,True
8XADV3upkWt4jGs1oz8cTBqXskvy3D5nGg,1276555.72018909,True
8KS5Hw1Mz35uEkd82m8aLDJp5Uy9k3A7bJ,1275775.73962299,True
8SETdZBDqdUhYMmv7pbFQaCYB7LeDD1M5W,1275685.73948506,True
8NbXcEs1tuUuR3Du3evz79p6yvPLfPg2wR,1275190.67642003,True
8F6NQtuNqwhngMn8Jk1k3J6fWYCukR1NtG,1274805.87556002,True
8W899pWMwVPLCa1tECtoizqtNxCe9sV13X,1274785.68177926,True
8GZEEWSzJGzfh6aZeryyqhkJswpRxJrKez,1274770.86510205,True
8XXrVgJFY8199ekPnJWDjdpRTzG5D5rf85,1274395.75820173,True
8GPH7wa9DGnaEa8BvkYmEZpmLQXhxfCi9e,1274245.80153757,True
8Qqobg9LcFmqjV4iYAcvB2VbKnUGR6YKsM,1273735.70264575,True
8VEi8C7L52qEQhzkhyM1BC4qSjqy2ftvoe,1272550.75954859,True
8RUNjYgCHkT56t4C38YaaDvUQcY4HozdcD,1271890.60038437,True
8ZMnyvoSichvQcjiyM5Do1nobvnnkdwCgJ,1271530.70371221,True
8L4umCQLBRg2xoFgdBqzKPPuSEn83xdZP4,1269915.83217671,True
8KeqjdnWoaMuX6cTic3j93qDH3WGctFnEn,1269855.63144435,True
8ThhzS3R94B866Qz2g9bGWWWQc3sVMKzyM,1269850.57709639,True
8HoNzZ8LndkQzUh8TgJgHsv7ifBvvqXBLc,1269265.80016385,True
8WUgJm5o4TaxHisjT9xyvHAvUu3JTpiLUh,1268875.8460285,True
8RYkRt7dBMap1UdvApxwD7WCDvTDycd7YX,1268080.5814185,True
8PpuU4SYebFRiaTN5pQSkDeVRYFrPnxW6x,1266805.64683241,True
8cp8r3kdCW14o7vA5VZRmumCFRad48YDVp,1266160.84948053,True
8MrRPm5H5PkLmsBLN3q1nEQWFdUbAWp99z,1265860.76715537,True
8NfpDRogMAB3gZdPgucHNDg8ZCr5hoBmN8,1263990.73434286,True
8b4v3aXuNidKUryW78YjwGRAebPMZKGpUZ,1263865.70638837,True
8YUCDthLYBco5sLpLCsQanMLU4e7WH7Hid,1263700.87170491,True
8J3WVMy5PanG47WXQpCXkUopLTZXwXWq8g,1262875.63138146,True
8P2PVK7X7gW92f81xkKmqdrh8M5SWNdcmx,1262785.80049113,True
8Vm3MFM8BnV8VBraZdbx2Qt5ga4hn9iLBH,1261615.69868786,True
8d15sQSdmA2dsVBJDRpZtTBhw6m9QGfuHc,1258705.58884645,True
8ZHhstXFWpC8L6Nq1DEHfQPbSJ5os2Wcta,1252045.57845312,True
8UtmC49EVXMbc6PW35NfmQqtnkenV7KJHJ,1251945.77003854,True
8d28hCPmDBvUzEtLx1pTffDyZx6hyTAdfb,1249015.75421304,True
8WqgUEzMY2USiyCZEuTxZbwLQVtRCkcfES,1230760.35036305,True
8FmEyNVRBP5Y83qni4FmqLdCt44R9YDtAJ,1136891.42713719,True
8TPiLw9jSkjS5ErFATELqL5fcxfjtBzhYY,1000675.00195209,True
8WS1F8EZCQCoe1EmZinXU8fDdbotXG1JwZ,1000405.00301669,True
8TgQReDkQX3a8zFFUNsu7vN4dTccpuPBUS,1000405.00116663,True
8JwY4gep99h25M1PropygXgSR2KZVDRKGh,1000405.00112613,True
8cgybhALvJr8FuFZGGdUY55Yk7AFYwux1S,1000405.00093646,True
8X2TPWJtTHZnjoaicDgenvjMrdk31Qi79X,1000270.00398599,True
8Z2u6tWWreNkAkD11FLqxTk5Yvn3LnekfE,1000270.00366726,True
8TncLLVdD1tuFNXiLs4iMvyVdFg64Mt9aT,1000270.00287883,True
8V1YUzDJsC5fhMzCdmz4HKV3APJExG5VG8,1000270.00231136,True
8P3Zi5h4KuupkvLgWEYdmZnnejEppogDAx,1000270.00221999,True
8Jjbyp3FSkLawkCy7bgWCLUZC4RaLcRjQ9,1000270.00137713,True
8PmqHSrpURmSi5xa8BQMwrgrW6W1fVSF7s,1000270.00094349,True
8QcXtDN6dCEsf8Bb5SunMCEguJ8wGeY1hs,1000270.00084236,True
8dWSVmVV8DMWZUhLK4tJRHyTXRgQwzQSmZ,1000270.00080775,True
8YHwQysFeptgGXWGPD9r6DMvosUa6chcjT,1000270.00073784,True
8LAeTQSqBUZAAYi9u6R7NJZXmLJTuyMg7g,1000270.00061828,True
8KYnAR5HTuicz1RTChFHjdrcHfiu8kzFye,1000270.00041094,True
8USwc7rUrYneGjJ9pYNPb5uknZW2WhVULp,1000270.00032587,True
8HRf2Hgvi8xdoGqKwp9kGPMsfM4wG298SG,1000270.00021632,True
8HpxLQMxqDwW161XU5NJF4sRTNXBzSciiH,1000270.00014893,True
8SNzL79x2vQBxbsji8x3Tsu515UfjtfUgk,1000270.00012097,True
8Foi4Wm9UTXYbAdY1diGBnsSeANhrPD3kr,1000270.0,True
8dB7kZazQgLjDgqkbUTyzqweJn8QPHfDC2,1000270.0,True
8FJUo5FQvt85kZCtg6Wax4sQpbBVoExADm,1000135.00417275,True
8Yp5SbxE7kRdMa3LW96uU6w3h4jt9t9j1z,1000135.00331768,True
8QSkEt2AmnrMipNC4dCTpoTVZMovNvZwAj,1000135.00247536,True
8HcrVtXe487sGJxAFceDqP9VG1iV4sbAAB,1000135.00235431,True
8Lh3cgC81dTPwJJ5U3dmNzCJ6xkYBYwbEW,1000135.00222896,True
8aGXT6eWdeGVzPw48eotutpG8PaKj9X873,1000135.00201861,True
8Xkx1RNAS7zdHH5fmFSFreURKJpbwcnaVw,1000135.00195314,True
8aiWii8t7fFUbmj1KZHCqvUMvunVfAGg3c,1000135.0019268,True
8QQ6ZEUX9bkRrusgahDBetcwRcbErt7ZvZ,1000135.00186911,True
8T8GcfsjdPQ7qfZh6k6pkRZZ2VL9kFDevX,1000135.00148099,True
8MbYB41KNN4AMNRYZCWVU8qLqXk8N4MiYk,1000135.00138968,True
8Ra5EndxsUpTg5q51xNj6cGmKVgSB3Lc1F,1000135.0013733,True
8WReqPNYihwnhq6HdpHd4EaiUg1bpZWpTt,1000135.00135273,True
8SVkMC9526GwbziywCmCa9DnC4D5u1CgqF,1000135.00128809,True
8aHnnjyQKuDb1N4p9PGNUq4JsCjpkSEbaB,1000135.00107462,True
8MXSGcjixVbpCbYXnwWHf7RkiaGc1F2Sz2,1000135.00100356,True
8ZP7WCxbgzRdixVEh9x3jKb33MCEbyq1LE,1000135.00098232,True
8TVuCv31MVmKjQbPwaXNooyzr3dStqbhY9,1000135.00095786,True
8NTicx11b1M1ys59o4FRiBfLnM8znUvox1,1000135.00090318,True
8aahtS3p8FYxQro8f7X5J91Tjgv1G1XKFb,1000135.00090129,True
8ZDPmv13ueMcBeMudpTfr3wUrdomqnFRPE,1000135.00081124,True
8deQ8uo4chPSfrZEnxCW1TayG1MygsLn9k,1000135.00080773,True
8SUzLKNkLUmgwXtghQ4HsJ4TwjNf2vsiQw,1000135.00078853,True
8J3ESPMApx1jcwWGsVo8vPe7rKUMGFHJtw,1000135.00076828,True
8Lr2RpnL5RrZnXwzd9N5j4vJ3mNjUk35TV,1000135.00071242,True
8HqgWUfXQnDqTNHXsYrpmsgnS9SR5vgs45,1000135.00064879,True
8Vt64v7dNpS3XjPrEKWJPqa2eFbKGNZC9u,1000135.00062372,True
8TkzdYk3yzVgSq7j9ihspW5qD4jZ9da8b6,1000135.00058348,True
8JGDz6azSW7raVSzcgAWEQXsynKNxzk1kB,1000135.00058343,True
8MSSTek2wdzrNaCMrTQSXeD436X32xMBJy,1000135.00057579,True
8Rfe1YDfskjipT31wNgSbtekAc1BqVSdM7,1000135.00052998,True
8MCQ9PvhKgJXzWBgSYTS7JBPGagqguyHPY,1000135.00046013,True
8K4RTe6TnYDf5VtuuQw7MkZMU8cW4Pimfz,1000135.00044141,True
8Q6hh9WhtJFZzrW5fzq3SbkkeFoF7wLh9c,1000135.00039868,True
8QtaF8jAda1aGVrdYPyvbtiGe5GAmZKstM,1000135.00031984,True
8SGumDmoCNvfeUxF5ZfB7BBqnAJXAnRgmr,1000135.00029667,True
8dnziu6Zhd6pmGayzXnLXVaWYAUDdSrnVy,1000135.00027772,True
8UirEzTmzJe3qFjKNCamNi4BxWZhKNK2vM,1000135.0002523,True
8dybGtHAQLc3gfQrm4fXrRB65sD5fQFXEm,1000135.00019886,True
8Mh39yerjh3KG3PCtaGiEnBN3vFbwEoLvr,1000135.00016347,True
8XYsRxbQ89w48paRWXwLAjU3GStNB5cKad,1000135.00016347,True
8NyLWVuvhkBCbLEL83c4RhtBJeAEubQxyy,1000135.00016346,True
8TgpfPwwNtjMLeypz3JAQgv23tcGisHzxq,1000135.00016346,True
8NpuYVAvLJCNoUUGga3ZFkfVmBpT32Ld45,1000135.00016344,True
8ahKL5u6a2ja9DBgreiUanjqBuVAW1muy1,1000135.00013464,True
8RZg4gcuMBCmHi8UxhbjvTRTwLYATPc7q7,1000135.0,True
8KMEmHneB2k6mdRaV8B9vWhfdWmYafXjK1,1000135.0,True
8Z4Sd4YukWxrvojFvZ9mctLdiNfsQhdaqA,1000135.0,True
8S6dXTmZxb6hxEe9k4DEJbANDmqUqEjtFW,1000135.0,True
8Pv6Tydvq58f8koa3rEXrz7aRV658SdsCJ,1000135.0,True
8VhzvYwyYAGMnSVGokZuiaDHpx7Uh5TpQY,1000135.0,True
8YdUaLz9Q7P8HSGoNLz4DpxGRrEsCC2iip,1000135.0,True
8cuBj9KLqphZDK6fmdb7xCh5m6Y4jKHF1v,1000135.0,True
8e3YAhew2CEUqyr8BtH6baJwE991dMXVoU,1000135.0,True
8JcxpXzYWpJUGZXJyWvTdynykbYTUWu43h,1000135.0,True
8YcbvyhZPCXCsUH4zyes6LRG73Ph9WWpXB,1000135.0,True
8JmTVRQzJzWwHeegDUzofKUvn4FpBxTk5h,1000135.0,True
8YphFde8vWbNnFi7V9ELhiGWA2C3GwZhup,1000135.0,True
8QkCRZNYeFUbACGyQZ9Yc7yYFk4DWuoh8t,1000135.0,True
8PsvpvskMqVr3Z6njyVTPohRKAxJ49XMvg,1000135.0,True
8YQNA3QirEZTR6D12pi5uFRT8P4tos8FCg,1000135.0,True
8VqR1URi1zJPLbxiAC2iQiaAhEop3N7quF,1000135.0,True
8WQUUA7vKn5nW2GY7cJaLzEcivZiwmzGKK,1000135.0,True
8bLmyseB3FYoWsJjUnysX7PYryxQBqePuH,1000135.0,True
8NLtkZVqJ7h7Mi3kdHtCU6sK6YezK2sNT4,1000135.0,True
8RzCdPywzXmYqQ5jsDgJC5zDHs45hLrxGZ,1000135.0,True
8YSLoCRvSKAU25jE7ybyZotxc5mcCjmpJs,1000135.0,True
8aCzXofRWajMyeezSCEm7cfySusGKhhp9H,1000135.0,True
8SnN9wjiF8QDTbStxGRHXvGUmuCE9pG7vt,1000135.0,True
8GLF6ioSdrRoGoyQC868DtyKgMWkPbbby4,1000135.0,True
8XJ7iHPCWnL7baLJnuGqCxwCpeGoSFd8UK,1000135.0,True
8cL1EotK7bYRVu1kEr3u6dSkViMwMdBhiW,1000135.0,True
8TwiEc6MY1QKjmwGLWy7jDrazb2CQksywR,1000135.0,True
8dqMB7VT6p5pJLoLQnFqt7hcEw4oww8pdF,1000135.0,True
8YvEn8JsnAhMaxd8CdNfM9ySzFMgtWiA8M,1000000.0,True
8LPbcmUWGwYiRKRkCV2dU5tbF2Vh2WwqPp,1000000.0,True
8dua9JsoknCYMFea7nUhTtzMezdqwkA27W,1000000.0,True
8FQ5g7nUhb47bCVTaiUpNUnthbiMkA87A6,1000000.0,True
8WhJP9QXJDZcMXuksRWt66fnurwnqvGL4W,1000000.0,True
8FGmWpKn2SC4LzXbYRfnpu7f4qeZwoN4we,1000000.0,True
8LiBz8jzjipCbZ3tMpivWYbP5DjCaK2dCp,1000000.0,True
8LJTK5zwhN1xdDgA44Zw85BLLgKExsrPxS,1000000.0,True
8SygZNJey81ksvqoLGrE8Hk85Yg5bwp6N4,1000000.0,True
8Vj5cVHGZ6rPkcHpJWUMgbVkeNpzdozLLh,1000000.0,True
8L6DvHxWp7MEaiNzZkHsrY4x3gnqatQUoZ,1000000.0,True
8L7MJVGGDQDinoh4cvm2tzmxPajncRZczq,1000000.0,True
8MdMaTmm8G3C8xif8WCpH8Qucc7UZyWfAq,1000000.0,True
8YTk7DPRzqXmBYo7f1QB3XVeBKmkVMG565,1000000.0,True
8LGn8uBXCkx1MjZUSxcpq4CXg2FpBjsYx8,1000000.0,True
8T7Q3eTTTizJPR6LtBz9mqbUoVAgAwZjWE,1000000.0,True
8W5gWn9tgD8WWZWitJeZGu8HWWjGZukEYY,1000000.0,True
8SWzoyiuG8VvHjj4jHpuzYDLPWBmnnVgUu,1000000.0,True
8RXtq1cKEEYRa3E526ksHec5mZFsTH4sze,1000000.0,True
8V8epB69taZSr9kbnsgFQa3AiDgjqkLW92,1000000.0,True
8S96aNtnoWnQR41VVCR4MHCXqpQWtvaLhv,1000000.0,True
8aUk4DqSigp9gvfp99UJZLdqWV18CB3DaD,1000000.0,True
8NCiGjmuh4pSCqk9ru73GhLhZuCYT3QHX7,1000000.0,True
8Qkng2mKD3L8bFcpxmQF3TmyRVBDwJNiaJ,1000000.0,True
8Tw4xJn8p9JDWSwmqZBhvvTdgXgLVemvEp,1000000.0,True
8HwMGphrm1FSzAdAE5TuveuANLrbXtmejz,1000000.0,True
8QkeyQtVg9mYz4vGwqmd8fTyYKELnin81c,1000000.0,True
8LzfwQHo7xe8kDeUMqo5W6WAhu7wmUcuAv,1000000.0,True
8MDfg3DPsPpCCZoew8ob14es1AhTzE2U2f,1000000.0,True
8ZgktCDSnKWtPm89KAtZWzTkcd3Qfga2FR,1000000.0,True
8HhK4einTm4pYv2nFeW1qA4izoFTjchUvo,1000000.0,True
8FFgJaxnsbv1BrsySJh4tbwjXtBLBXBL52,1000000.0,True
8M2mydsTWDJk3Z6u3RQLiv9iUWN774Xitk,1000000.0,True
8LnqhZQzFVwwaX7TUrTw3ckUffuz1pLYTf,1000000.0,True
8TvTaofa1VAV8RG2STWyUWwz11iq4bujZZ,1000000.0,True
8M3xuHbRLXkg9Yha4ESEb8Vu54xapkURGW,1000000.0,True
8dkP75Hdby9JsekEsuUyyTwBxEbLjpsKrF,1000000.0,True
8e8TpERzgMxpLZQCcxWpCYf4qxtMcHSmB2,1000000.0,True
8c4nfFHH951avjfvZgCng8g5yiVamWuhDH,1000000.0,True
8JtTJmvCeg4hqW2PxhbYn1Lx5Ef8Fcov7D,1000000.0,True
8TBd6WdgXyarzdMRnFFaHADj9zLSxrF6By,1000000.0,True
8dKvEzsfBWymTjNvx13kvjDSYgTdiVSf8w,1000000.0,True
8X1d6q3SzYJqyYaQWDMZFrNXgxiNoH3wqu,1000000.0,True
8Xk6E9PHYKSMtEaNfWHg1ckDGQB6kp58qk,1000000.0,True
8J35RxjuNUpqM5fo5bTWAGJ1oMqZF7U9c9,1000000.0,True
8Qycy2uCoQ9KM1SLRuQkTmd29M57BMBY5T,1000000.0,True
8JV3ZTxSzHn5tKR68DRSPqu49nqEG9v9Bm,1000000.0,True
8Ghh6tsZniuSSR86zrfKVxAtKaTiwHVRtb,1000000.0,True
8FtYNFDaqX98ghshqVyBoV3XXEqBb4RFja,1000000.0,True
8cwzureGgJVvZGXosYrpyD9eTFHzGeKfpY,1000000.0,True
8GZMFNy8ahegqs7nbyXf7LQRSkyrZKrcCb,1000000.0,True
8SsiHeD7pLDhRmR2yiF6TGDHsJXiwzKMdT,1000000.0,True
8QGQgpdfG7uahWw9iTVyZtndMkWyM8EbNj,1000000.0,True
8GEqdQ4kg7ziAuXHKFZqVLKgjh1SjZkzaX,1000000.0,True
8J37JkRdQfKbsL88iXm9ukTwMsUvGU66s7,1000000.0,True
8c8cVJmBcSmsbrkMxm3MGemxuBcStKBqF3,1000000.0,True
8Yy9pmaB7YHDbTTQtXf9trnKgR7K76ZUmC,1000000.0,True
8HimToPvC4tmp1v2RcfmYRNMtpFFdPeXFB,1000000.0,True
8Ymn7ePDgcrCCyN9Zr4pTWbQrTWHE4nHbd,1000000.0,True
8J68Y13URUPF4fZcFSjGAr17GXwpEJH4ra,1000000.0,True
8VX2iknA6AkX4EwHTYP7efBHAcWskunLnt,1000000.0,True
8aSBznCrLc8kWSmy2sLxiiHQgbe3NRKQcB,1000000.0,True
8X9chwcKCzpG2QUKozYo3dcaff885TmBxp,1000000.0,True
8PEiTaVxjAAjoDpzAJxH9ZfSk7t6ed984x,1000000.0,True
8KRJ8pRGHrGQx6ypk7fKuSrBLnAxsncw76,1000000.0,True
8VEcBnvWg4HrC1Qt1iYQJ3Vvuf252msaRU,1000000.0,True
8RgFCLH6A99sZiiZdoamhbUJgCvMTWJuMk,1000000.0,True
8Fv9QHXGmpc91jkukEY5DVxZ3S7M4W3Lvp,1000000.0,True
8FvubRDbgkUkuq7cYoT3dHuMJoB7iVT9Zk,1000000.0,True
8LeChV83PQ8ofS3G1mc7Ytr5hsFjiVuy3T,1000000.0,True
8UdHjvi29eU6jEbVDSRsXugJu2k2e3zY2W,1000000.0,True
8Hvfb9HGenxvL85txyvEyWaRc6mvUDDAUP,1000000.0,True
8Q2Z3ZjZJpg7gFtzHTryLgtRUMVY1QhT82,1000000.0,True
8SWuNT54Q7jFAxG2DwpoXxcN7JhCTfHK3B,1000000.0,True
8JussthigA1wRpQBPMuRqMkxUG8qrFbpC8,1000000.0,True
8bGJntENwPDCENjFKECJb5KtXbX1CHeXoP,1000000.0,True
8QJjNbfFKiX9ZvvsmoqrQNriV9npoXrd7m,1000000.0,True
8WU4jSULSSc7Lz8xi6T8Qe6RXYmEno3YfZ,1000000.0,True
8Q66hQ4pMDLpS6r1v23m8d7W5Qx7JaceeT,1000000.0,True
8JGnfDWipbDmtPEhjdeZAzJocJEDfMcaD9,1000000.0,True
8X6SLxhz1bzAiQo45RapbPhiG6KjEGxYBp,1000000.0,True
8d4NWtWWLahp1tgPUB4ieCheu11uMHDjKN,1000000.0,True
8H6G3QkxqEcRwMosL2tQH2YCtC8qNqcrqU,1000000.0,True
8PTT1Yk89hbmUfgizxDyiCV8iMj46Uod3f,1000000.0,True
8dae7BKSDqJiPoECfWiXY7iuCQoSv2uaWf,1000000.0,True
8WWcE7XGPnNypuzc9Fr9bX4sJWYHwdujGp,1000000.0,True
8JFk8o5BKquJUHBmprTGx72yy187RwCqsz,1000000.0,True
8ZYpXKSvMpfCTkHPti1rWwP9LwFKws85ti,1000000.0,True
8SfKi5WBY5JzmsQ9b25y1Mq1LG8JHE4QY3,1000000.0,True
8KeF3owaWK3icc37HPWsPtUq5jrCiDa3sK,1000000.0,True
8GarTcQUsmXoPtFN3Ty25Dbn5RgmTpfeAj,1000000.0,True
8Tg82U5ubyHb27yJecJpTDQQpBoM9hkTz7,1000000.0,True
8TmQVFEJi9DBHsTt8Hvw1nUQs61rkQyPAf,1000000.0,True
8Tr3ZXHa18qDMJhPwCdfXNTjf7oZcT85iw,1000000.0,True
8Uw95EX9ZKxqCdmS3kDdAwmD1yn7FCEA2N,1000000.0,True
8Wq5Vm6Y9HtsCw4ziLiHcmtcqGJEHmtJ6N,1000000.0,True
8QdVeBF1NbfryZtkVFg6ai32sufhBqR7st,1000000.0,True
8VwszPSzgpJ7mDrck3GKdC5EVPpbifyPES,1000000.0,True
8Wm14DjR6kiohatcmigKZUsAB6e9padB5j,1000000.0,True
8X2qTauU7n7uwTGBThf6hiY4LVPpugD8kQ,1000000.0,True
8RKBnFAZWqpycDvVXcib9bfGSgpiQN12G9,1000000.0,True
8JEXL1rMM6XUWfWCqokFoaDcJWNMzxCdqH,1000000.0,True
8XpNN5Koco6sDmDgL618qntUdE2D65HC8s,1000000.0,True
8Xs6NNNw33XTs6VrofWaDwrRo8eBoXELPi,1000000.0,True
8cG6F4tsyH7ArCixNEbkdRUtN7WH2D9JgU,1000000.0,True
8YSxAdFc9476SYjP4oP9GTcffu3Mp2QBPB,1000000.0,True
8YXUQwQcorDyUrptN5nJKbAcWtW9MBpgdS,1000000.0,True
8R5osEPYD7oBbJBESf24PpC4MT1WGFjw3W,1000000.0,True
8ZfmWZqvY2NuRTnKz6TZhZYmsAwbqs5sEy,1000000.0,True
8dEfagfYUXAd2DsUfvDLdhicRbBmEj9da5,1000000.0,True
8Zt6SgMT9yDopDNgULGoVid3isUDjVUKUV,1000000.0,True
8Ugnw4FrwbfxNVs7VpnxxA5Fs41tW7WkSZ,1000000.0,True
8KS924YpECYVB84ZpNGo38SzwwTeM57qJz,1000000.0,True
8aZg5XPscdQ6mRFU6GRR6vFNiSPXpraQqP,1000000.0,True
8aw7NdLgTMRE7T59U4qPTbQNcuc2cC7rGB,1000000.0,True
8TWEeZAbijMzoHqCBC48jnEykpktZNoJvo,1000000.0,True
8Pyhd746fsFPtAdbCdn2dBkthCeFty9jmX,1000000.0,True
8cLPN4diDtw8oG2ZxD58SQsprfyHyccnG4,1000000.0,True
8cZ1eRx2R7YRjFLTh282hfJRxWBHrF43F4,1000000.0,True
8QmWhTavSjGkbdLsETLqXS3YGBcfxBvhZT,1000000.0,True
8WhYQdnwUuiYyjiCZN7qgmcbpooEn9U7j2,1000000.0,True
8cY9UE8bpNBGevRSj2dmdKqWLtSKMv8iaZ,1000000.0,True
8JYR84FxPrErnV7cyvS9T9aL95bkLfcvrz,1000000.0,True
8ZqwiYS3ZAnoZZrdWDTzPwqJ6fd3ux5Q2N,1000000.0,True
8Qv3ogu3t7hm128F98qU8KsJuSDxU1UVpZ,1000000.0,True
8dDBEniWkFoPBrECL1bmyjx8xfkg5CdSMa,1000000.0,True
8ZiUZJ14cVqkgtQwWhjQcuiHeWHN74RPeX,1000000.0,True
8bxd58gGDtk9sHfCez7YNynHJvqarwwA4v,1000000.0,True
