address,balance,mnAddressAPI
dJEbxbfufyPF14SC93yxiquECEfq4YSd9L,273713999.9999,False
dZcHjYhKtEM88TtZLjp314H2xZjkztXtRc,10589454.99608917,False
dP9GB7r5BHHqeNjGQr3GKVhd56PiXesBCh,3772040.69122174,False
8HneKgGDnvrYRBkyRA4uTmyEAR9DXWNJHJ,1321781.32974231,True
8KNAr7DFGHYWjhbYWzttR3imJEKSbBg3ED,1319026.01718657,True
8GZvfoSDk1hW2BQKziUqzghEErKciuxVb3,1318916.1149086,True
8R4RbWzW2ntoSFR2gw4qjFENkmDvXXUNYK,1318166.54053573,True
8FqapPqJPtfu5x8Q8z5r5qHNoemsQJoCat,1309826.29812346,True
8aHx6hKWzsBDhzWhJXoH5MT9bXBonk8XAi,1309541.24690183,True
8PNruTxeVCQVKVVAEn2DjpAPY72ZHQpLjA,1308646.40460124,True
8YJooCF2HUJek69RR76TYdoYcLsP1993nU,1304126.02747249,True
8NeXnnxfaiYJVkrP9AfHPyphNUu1nekAhj,1303826.12043254,True
8Jq5mGaDhjjvzwDBZ1KJByanhPDznY83zq,1303181.07431089,True
8eK97Mv7GcqkBTuTyRWD4kCBX3Nxk6pg4Y,1302355.96369436,True
8Jwby2zCyPjX363JJzxYfKR2HwMCe73w5t,1301606.09688667,True
8LbEfZ6S3Ly76o3uHNr9p8DdX8BmWMk7bQ,1299776.09086289,True
8Sf5iz19CttuRTnkVCucTLcSKtzj34vNQm,1299056.17407825,True
8aNtjfQD3NnyGWrR3LbrurSinY5rUZdJ2H,1298276.20493965,True
8YGok1UussFwLQDhqCy6GCCVsPpb5wWKd5,1297511.11240885,True
8crsgK9L83SbbETxGEQXai72j9FDqkpj9E,1296541.19811447,True
8bPQdtuwZ7JAswvVdeFg2Nq96XaLAPXxFS,1294541.00490905,True
8TS5zi3c9UGtKR45hDfHR15kkcpoctGw6L,1293596.02705734,True
8KS5Hw1Mz35uEkd82m8aLDJp5Uy9k3A7bJ,1293461.07689247,True
8XADV3upkWt4jGs1oz8cTBqXskvy3D5nGg,1292620.88381791,True
8U54a5imXzwp3osKe8TpwnyVk33DiKdT6K,1292471.32664746,True
8Qqobg9LcFmqjV4iYAcvB2VbKnUGR6YKsM,1292230.99427026,True
8FQdYATtGcZxSxhM1zYPzBfvEoCZmhSET9,1290776.07048253,True
8XXrVgJFY8199ekPnJWDjdpRTzG5D5rf85,1290595.9694875,True
8GPH7wa9DGnaEa8BvkYmEZpmLQXhxfCi9e,1290580.95841546,True
8NbXcEs1tuUuR3Du3evz79p6yvPLfPg2wR,1290580.87358337,True
8F6NQtuNqwhngMn8Jk1k3J6fWYCukR1NtG,1290061.17000933,True
8W899pWMwVPLCa1tECtoizqtNxCe9sV13X,1289770.94049748,True
8SETdZBDqdUhYMmv7pbFQaCYB7LeDD1M5W,1289320.92093061,True
8ZMnyvoSichvQcjiyM5Do1nobvnnkdwCgJ,1288271.29938938,True
8VEi8C7L52qEQhzkhyM1BC4qSjqy2ftvoe,1288211.0439805,True
8GZEEWSzJGzfh6aZeryyqhkJswpRxJrKez,1288136.02199799,True
8WUgJm5o4TaxHisjT9xyvHAvUu3JTpiLUh,1287101.13819057,True
8RUNjYgCHkT56t4C38YaaDvUQcY4HozdcD,1287010.84328957,True
8RYkRt7dBMap1UdvApxwD7WCDvTDycd7YX,1286845.87720207,True
8ThhzS3R94B866Qz2g9bGWWWQc3sVMKzyM,1286050.72980301,True
8L4umCQLBRg2xoFgdBqzKPPuSEn83xdZP4,1285711.03178289,True
8HoNzZ8LndkQzUh8TgJgHsv7ifBvvqXBLc,1285601.02285126,True
8KeqjdnWoaMuX6cTic3j93qDH3WGctFnEn,1284705.87983133,True
8cp8r3kdCW14o7vA5VZRmumCFRad48YDVp,1283711.19302558,True
8MrRPm5H5PkLmsBLN3q1nEQWFdUbAWp99z,1282331.00903597,True
8b4v3aXuNidKUryW78YjwGRAebPMZKGpUZ,1281010.88373783,True
8P2PVK7X7gW92f81xkKmqdrh8M5SWNdcmx,1280471.06862475,True
8NfpDRogMAB3gZdPgucHNDg8ZCr5hoBmN8,1278975.93722942,True
8Vm3MFM8BnV8VBraZdbx2Qt5ga4hn9iLBH,1277275.90184179,True
8YUCDthLYBco5sLpLCsQanMLU4e7WH7Hid,1276931.35053489,True
8J3WVMy5PanG47WXQpCXkUopLTZXwXWq8g,1276105.80254413,True
8d15sQSdmA2dsVBJDRpZtTBhw6m9QGfuHc,1272205.82191496,True
8UtmC49EVXMbc6PW35NfmQqtnkenV7KJHJ,1271521.0849663,True
8PpuU4SYebFRiaTN5pQSkDeVRYFrPnxW6x,1268425.6620975,True
8ZHhstXFWpC8L6Nq1DEHfQPbSJ5os2Wcta,1267705.8212867,True
8d28hCPmDBvUzEtLx1pTffDyZx6hyTAdfb,1263055.91814247,True
8WqgUEzMY2USiyCZEuTxZbwLQVtRCkcfES,1249930.82997161,True
8FmEyNVRBP5Y83qni4FmqLdCt44R9YDtAJ,1149581.54639612,True
8e8TpERzgMxpLZQCcxWpCYf4qxtMcHSmB2,1000405.00466295,True
8Jjbyp3FSkLawkCy7bgWCLUZC4RaLcRjQ9,1000270.00870025,True
8c8cVJmBcSmsbrkMxm3MGemxuBcStKBqF3,1000270.00352098,True
8bGJntENwPDCENjFKECJb5KtXbX1CHeXoP,1000270.0034065,True
8VhzvYwyYAGMnSVGokZuiaDHpx7Uh5TpQY,1000270.00321341,True
8WQUUA7vKn5nW2GY7cJaLzEcivZiwmzGKK,1000270.00178931,True
8RgFCLH6A99sZiiZdoamhbUJgCvMTWJuMk,1000270.00128011,True
8FQ67ZMTNMEbpQEUzZ5MbAFKKfJTo1uLNx,1000270.00126297,True
8deQ8uo4chPSfrZEnxCW1TayG1MygsLn9k,1000270.0011946,True
8XpNN5Koco6sDmDgL618qntUdE2D65HC8s,1000270.00081218,True
8RZg4gcuMBCmHi8UxhbjvTRTwLYATPc7q7,1000270.00075889,True
8WWcE7XGPnNypuzc9Fr9bX4sJWYHwdujGp,1000270.000643,True
8WhJP9QXJDZcMXuksRWt66fnurwnqvGL4W,1000270.00038809,True
8TaKhGxH3APhU11KLgomGuQtBmyRrc8yhm,1000270.00016344,True
8TWEeZAbijMzoHqCBC48jnEykpktZNoJvo,1000270.0,True
8Ghh6tsZniuSSR86zrfKVxAtKaTiwHVRtb,1000135.0183709,True
8QJjNbfFKiX9ZvvsmoqrQNriV9npoXrd7m,1000135.00902498,True
8Q66hQ4pMDLpS6r1v23m8d7W5Qx7JaceeT,1000135.0031408,True
8bxd58gGDtk9sHfCez7YNynHJvqarwwA4v,1000135.00258589,True
8MXSGcjixVbpCbYXnwWHf7RkiaGc1F2Sz2,1000135.0022088,True
8Uw95EX9ZKxqCdmS3kDdAwmD1yn7FCEA2N,1000135.00201463,True
8cGxqMonbmvH4aJ88jvoZBpRf7nWX8tg4u,1000135.00174247,True
8LGn8uBXCkx1MjZUSxcpq4CXg2FpBjsYx8,1000135.00159265,True
8UdHjvi29eU6jEbVDSRsXugJu2k2e3zY2W,1000135.00157178,True
8LeChV83PQ8ofS3G1mc7Ytr5hsFjiVuy3T,1000135.00142287,True
8Pv6Tydvq58f8koa3rEXrz7aRV658SdsCJ,1000135.00125935,True
8YSxAdFc9476SYjP4oP9GTcffu3Mp2QBPB,1000135.00119233,True
8NTicx11b1M1ys59o4FRiBfLnM8znUvox1,1000135.00118375,True
8T7Q3eTTTizJPR6LtBz9mqbUoVAgAwZjWE,1000135.00116282,True
8FvubRDbgkUkuq7cYoT3dHuMJoB7iVT9Zk,1000135.00111427,True
8dae7BKSDqJiPoECfWiXY7iuCQoSv2uaWf,1000135.00109806,True
8SygZNJey81ksvqoLGrE8Hk85Yg5bwp6N4,1000135.00101238,True
8JV3ZTxSzHn5tKR68DRSPqu49nqEG9v9Bm,1000135.00095834,True
8cL1EotK7bYRVu1kEr3u6dSkViMwMdBhiW,1000135.00092593,True
8W16dNfpVDKCbt3pyAiXG4u7L6pEbgbqpC,1000135.00084533,True
8Q2Z3ZjZJpg7gFtzHTryLgtRUMVY1QhT82,1000135.00082731,True
8d4NWtWWLahp1tgPUB4ieCheu11uMHDjKN,1000135.00082731,True
8JEXL1rMM6XUWfWCqokFoaDcJWNMzxCdqH,1000135.00082301,True
8SVkMC9526GwbziywCmCa9DnC4D5u1CgqF,1000135.00082155,True
8HcrVtXe487sGJxAFceDqP9VG1iV4sbAAB,1000135.00079995,True
8LnqhZQzFVwwaX7TUrTw3ckUffuz1pLYTf,1000135.00079636,True
8Z4Sd4YukWxrvojFvZ9mctLdiNfsQhdaqA,1000135.00078627,True
8MbYB41KNN4AMNRYZCWVU8qLqXk8N4MiYk,1000135.00074882,True
8QkeyQtVg9mYz4vGwqmd8fTyYKELnin81c,1000135.00071068,True
8S96aNtnoWnQR41VVCR4MHCXqpQWtvaLhv,1000135.00068836,True
8GZMFNy8ahegqs7nbyXf7LQRSkyrZKrcCb,1000135.00066387,True
8X2qTauU7n7uwTGBThf6hiY4LVPpugD8kQ,1000135.0005897,True
8Fv9QHXGmpc91jkukEY5DVxZ3S7M4W3Lvp,1000135.00058105,True
8J37JkRdQfKbsL88iXm9ukTwMsUvGU66s7,1000135.00056234,True
8SNzL79x2vQBxbsji8x3Tsu515UfjtfUgk,1000135.00054721,True
8HGDazrXxiSe6myRw7TZ5yBRAigoeVTk5z,1000135.00052489,True
8FJUo5FQvt85kZCtg6Wax4sQpbBVoExADm,1000135.00051553,True
8GarTcQUsmXoPtFN3Ty25Dbn5RgmTpfeAj,1000135.00051268,True
8Foi4Wm9UTXYbAdY1diGBnsSeANhrPD3kr,1000135.0004565,True
8S6dXTmZxb6hxEe9k4DEJbANDmqUqEjtFW,1000135.00044141,True
8SGumDmoCNvfeUxF5ZfB7BBqnAJXAnRgmr,1000135.00044136,True
8VzPyyLHkXpPvfwAqyQo1b6oiRKApu2eGv,1000135.00042482,True
8Vj5cVHGZ6rPkcHpJWUMgbVkeNpzdozLLh,1000135.00039169,True
8VEcBnvWg4HrC1Qt1iYQJ3Vvuf252msaRU,1000135.00039169,True
8USwc7rUrYneGjJ9pYNPb5uknZW2WhVULp,1000135.00037082,True
8TgpfPwwNtjMLeypz3JAQgv23tcGisHzxq,1000135.00035571,True
8Zt6SgMT9yDopDNgULGoVid3isUDjVUKUV,1000135.00035568,True
8WS1F8EZCQCoe1EmZinXU8fDdbotXG1JwZ,1000135.00029664,True
8djAB6gUGhupHiNk1T1CLKC57eeErL2aZK,1000135.00029664,True
8HimToPvC4tmp1v2RcfmYRNMtpFFdPeXFB,1000135.00022825,True
8QtaF8jAda1aGVrdYPyvbtiGe5GAmZKstM,1000135.00022825,True
8PFVntkf2zRBm2KddZrK5SSnkEhrpW21Qd,1000135.00022825,True
8UirEzTmzJe3qFjKNCamNi4BxWZhKNK2vM,1000135.00020737,True
8X2TPWJtTHZnjoaicDgenvjMrdk31Qi79X,1000135.00016346,True
8LPbcmUWGwYiRKRkCV2dU5tbF2Vh2WwqPp,1000135.00016345,True
8ZqwiYS3ZAnoZZrdWDTzPwqJ6fd3ux5Q2N,1000135.00015408,True
8ZfmWZqvY2NuRTnKz6TZhZYmsAwbqs5sEy,1000135.0001368,True
8LJTK5zwhN1xdDgA44Zw85BLLgKExsrPxS,1000135.00012096,True
8RXtq1cKEEYRa3E526ksHec5mZFsTH4sze,1000135.0,True
8RKBnFAZWqpycDvVXcib9bfGSgpiQN12G9,1000135.0,True
