,Date,Follower,followedToday,unfollowedToday
0,2021-04-21,25230,30,29
1,2021-04-22,25311,146,64
2,2021-04-23,25413,160,59
3,2021-04-24,25521,161,52
4,2021-04-25,25596,122,47
5,2021-04-26,25684,133,45
6,2021-04-27,25775,121,30
7,2021-04-28,25877,145,43
8,2021-04-29,25911,94,60
9,2021-04-30,26019,148,40
10,2021-05-01,26139,156,36
11,2021-05-02,26320,201,20
12,2021-05-03,26442,161,39
13,2021-05-04,26589,187,41
14,2021-05-05,26584,126,130
15,2021-05-06,26695,155,44
16,2021-05-07,26808,161,48
17,2021-05-08,27121,353,40
18,2021-05-09,27458,387,50
19,2021-05-10,27686,280,52
20,2021-05-11,28001,397,82
21,2021-05-12,28209,258,50
22,2021-05-13,28367,191,33
23,2021-05-14,28484,166,49
24,2021-05-15,28608,159,35
25,2021-05-16,28688,120,40
26,2021-05-17,28801,142,29
27,2021-05-18,28881,110,30
28,2021-05-19,28936,101,46
29,2021-05-20,29016,123,43
30,2021-05-21,29089,122,49
31,2021-05-22,29282,240,47
32,2021-05-23,29462,198,18
33,2021-05-24,29801,390,51
34,2021-05-25,29981,219,39
35,2021-05-26,30209,274,46
36,2021-05-27,30359,200,50
37,2021-05-28,30534,228,54
38,2021-05-29,30646,172,59
39,2021-05-30,30786,176,36
40,2021-05-31,30953,196,29
41,2021-06-01,31071,171,53
42,2021-06-02,31191,166,47
43,2021-06-03,31326,178,42
44,2021-06-04,31435,150,41
45,2021-06-05,31551,155,39
46,2021-06-06,31664,160,48
47,2021-06-07,31724,110,49
48,2021-06-08,31857,186,53
49,2021-06-09,32000,195,52
50,2021-06-10,32065,106,41
51,2021-06-11,32118,109,56
52,2021-06-12,32170,121,69
53,2021-06-13,32259,125,36
54,2021-06-14,32400,190,49
55,2021-06-15,32496,150,54
56,2021-06-16,32567,112,41
57,2021-06-17,32641,115,41
58,2021-06-18,32719,114,36
59,2021-06-19,32803,111,27
60,2021-06-20,32871,97,29
61,2021-06-21,32952,120,39
62,2021-06-22,33025,118,46
63,2021-06-23,34188,1228,64
64,2021-06-24,34145,86,129
65,2021-06-25,34176,100,69
66,2021-06-26,34202,88,62
67,2021-06-27,34245,89,46
68,2021-06-28,34329,140,56
69,2021-06-29,34384,110,55
70,2021-06-30,34398,113,99
71,2021-07-01,34510,168,56
72,2021-07-02,34559,116,67
73,2021-07-03,34588,97,68
74,2021-07-04,34598,45,35
75,2021-07-05,34600,37,35
76,2021-07-06,34627,67,40
77,2021-07-07,34638,48,37
78,2021-07-08,34662,57,34
79,2021-07-09,34673,61,49
80,2021-07-10,34658,32,47
81,2021-07-12,34642,66,82
82,2021-07-13,34658,45,29
83,2021-07-14,34668,60,50
84,2021-07-15,34680,49,37
85,2021-07-16,34678,38,40
86,2021-07-17,34712,71,37
87,2021-07-18,34714,36,34
88,2021-07-19,34720,35,29
89,2021-07-20,34730,53,45
90,2021-07-21,34711,41,58
91,2021-07-22,34720,46,37
92,2021-07-23,34716,23,27
93,2021-07-24,34724,38,30
94,2021-07-25,34743,53,34
95,2021-07-26,34750,33,26
96,2021-07-27,34765,51,36
97,2021-07-28,34772,42,35
98,2021-07-29,34774,29,27
99,2021-07-30,34783,37,28
100,2021-07-31,34789,28,22
101,2021-08-01,34797,39,31
102,2021-08-02,34815,51,33
103,2021-08-04,34861,116,70
104,2021-08-05,34874,59,46
105,2021-08-06,34896,58,36
106,2021-08-07,34908,53,41
107,2021-08-08,34924,54,38
108,2021-08-09,34951,77,50
109,2021-08-10,34970,59,40
110,2021-08-11,35002,74,42
111,2021-08-12,35027,63,38
112,2021-08-13,35053,62,36
113,2021-08-14,35074,48,27
114,2021-08-15,35095,60,39
115,2021-08-16,35132,68,31
116,2021-08-17,35172,61,21
117,2021-08-18,35187,59,44
118,2021-08-19,35200,59,46
119,2021-08-20,35226,64,38
120,2021-08-21,35233,43,36
121,2021-08-22,35275,74,32
122,2021-08-23,35281,55,49
123,2021-08-24,35321,77,37
124,2021-08-25,35378,80,23
125,2021-08-26,35403,68,43
126,2021-08-27,35421,58,40
127,2021-08-28,35469,82,34
128,2021-08-29,35543,99,26
129,2021-08-30,35575,78,45
130,2021-08-31,35612,78,41
131,2021-09-01,35649,74,37
132,2021-09-02,35679,86,56
133,2021-09-03,35697,67,49
134,2021-09-04,35711,66,52
135,2021-09-05,35711,63,63
136,2021-09-06,35771,98,38
137,2021-09-07,35792,91,70
138,2021-09-08,35869,141,64
139,2021-09-09,35900,92,61
