,2021-04-20
0,60970290
1,1377722611103227907
2,1384597847971139586
3,1384577171272908801
4,552227783
5,1383825682174595074
6,1384550014932983808
7,1293641624359247887
8,829563173707644928
9,1277501369134579712
10,1104961820
11,1258822431340400641
12,1244561695869190144
13,1359598231060156422
14,29478397
15,393563101
16,1303729190215192576
17,42340868
18,3325822790
19,1191850043248119814
20,3958448895
21,1384492897031004169
22,873423834082193408
23,559527436
24,1355005493551509504
25,430427602
26,347245956
27,66423664
28,227814234
29,1378352449191206914
30,1364622016003928066
31,1320315450975154176
32,1383741765555945481
33,113049381
34,1116513248289931265
35,850463645612068869
36,2532110966
37,740694763
38,393777332
39,1344691637121855489
40,463094800
41,38152701
42,1384403155996262400
43,1302452028174512133
44,839776510043107328
45,4173580887
46,1242829082183831552
47,554036375
48,41999727
49,970034167588311040
50,1383597772318773255
51,1308867509529923584
52,1251862988270833664
53,1383962982422519811
54,15132566
55,1289249658
56,976914112369147904
57,2402962555
58,32917712
59,1383767222577876999
60,801895117607079940
61,1376288460793913352
62,595624747
63,1379891554773524486
64,2305487604
65,1147646979910057986
66,1290017528937418754
67,1384097649943408642
68,1365200207298854912
69,21306879
70,167964444
71,1176498229581701120
72,1384205421934641155
73,1378393623402844168
74,1382223496596451330
75,626555208
76,2610305435
77,17570980
78,1384161339371782153
79,945618263878373376
80,3429223149
81,1384149850321670144
82,1376061133719748612
83,2400049321
84,1384127898462740490
85,1344959093027442688
86,95255881
87,3041728853
88,29406693
89,1357618580527972352
90,1136216575781101569
91,3230351831
92,1324645385353129986
93,1384073219003490306
94,1384067408684453892
95,915547056722317313
96,1355063032339177473
97,544071662
98,3228663286
99,1283307264191852552
100,922466626259189760
101,76853435
102,1356660823586975751
103,1118187410641182721
104,1383956304146821125
105,1333784121017942021
106,902694196150013952
107,1329044216433963009
108,1383920051166662658
109,1354678856100114434
110,18556977
111,1345734450404061184
112,1246862875521683458
113,1355552130543841287
114,25658142
115,1383858090102038529
116,1358846990029905925
117,1212021690512707584
118,1383771879987552261
119,1082130961
120,1161714094661144577
121,1383814998238003212
122,1358582320324898818
123,105697636
124,1266407010313990144
125,949716028740775938
126,391350749
127,1382215407201828864
128,1347781035682013189
129,961938493
130,3421167441
131,951759084184842241
132,1271536912189329408
133,359453617
134,1357379337243262981
135,1383711990477058058
136,1383700215161520131
137,784501717178150912
138,1441733689
139,1368095395038064640
140,1055457757
141,162104231
142,950418427453280258
143,756812558720532480
144,1349071432668622849
145,38917947
146,113962052
147,57756780
148,1383660009863614464
149,1383658962067759109
150,834092835808870400
151,718958748262211585
152,1333927254125113344
153,1351703504063254531
154,1301754882014113793
155,487109540
156,22439465
157,1352754294873677824
158,3437284360
159,41090218
160,1351796031785201665
161,1347528236729835521
162,1210378551406551045
163,1381219537421471746
164,1316124639635046408
165,1175006565566439425
166,1383459263503241218
167,1194923630913884160
168,1379118975209078786
169,1377038987030839300
170,1323883173181333504
171,1380157744762740748
172,32527059
173,1146136098
174,1382820828321099782
175,3236206339
176,145727804
177,1271089316077371393
178,1374876888
179,1188827370280673280
180,1139978526461976577
181,1380693185425403906
182,3166204276
183,20917815
184,942793590715142144
185,1380778429600178179
186,114091082
187,1354101883435184128
188,308315134
189,149260484
190,1336586243778486272
191,54205000
192,142254137
193,1210338440
194,3957508036
195,1383306914449158198
196,1289220533452705794
197,336073188
198,1374015076735221761
199,1373732532492075009
200,1347976910496702466
201,1067210139684372480
202,57909847
203,354240287
204,543233123
205,1316657798512472064
206,1379144399070855171
207,51043511
208,2878406843
209,1379289702491164676
210,1278752875
211,3969733271
212,1375586559106355213
213,1360573188288221184
214,1963481358
215,157098307
216,238611285
217,1229840551710777344
218,1070037605876723712
219,755038698102632448
220,15407255
221,1370344382780604419
222,4121652029
223,1383137459698040836
224,56676367
225,1381578905543319552
226,1344643348317970433
227,1323866897671225344
228,789124692514738176
229,831427758
230,1379501937222168581
231,2224299691
232,1269583220250685441
233,1383118562647273478
234,2821860667
235,140571062
236,800014123
237,701813302998016002
238,1383074299595038721
239,2825828365
240,575727513
241,1383084559684804611
242,1350147865058840578
243,729538876830666753
244,1383064899962687492
245,19847181
246,1377080750571282433
247,167066937
248,103776091
249,743057564
250,366164805
251,1064607245197930496
252,14798651
253,2999765774
254,1383017652893978625
255,947387043239174144
256,901209836494389248
257,1054059871
258,1376576125271482369
259,2402578974
260,1382996069584400384
261,460449383
262,1382439969537589250
263,1382976640389554177
264,69827945
265,3229013845
266,1324441887927898132
267,63674202
268,945575594208702464
269,1169948054666924032
270,1181893206423810048
271,186748750
272,1314228628083810305
273,135701931
274,2169859172
275,4793223381
276,273617025
277,1034140117
278,1358485916780613632
279,2710653646
280,4765352175
281,1379139667593998345
282,889110446
283,22124180
284,960807919490125824
285,1271779759
286,1350197926807662592
287,402971218
288,1382775008724971523
289,1382770696917499904
290,2583581904
291,524730717
292,737149682
293,1292146464983068673
294,578660385
295,929980232685191168
296,1017794546699124736
297,820488316097216512
298,91737336
299,1347612639892037634
300,776590169243738113
301,63046322
302,1354931920728170497
303,779845824842964992
304,992756143410819073
305,388659031
306,1300815889181286401
307,1131711060732465155
308,1370103597158035461
309,972045332556197888
310,3240932920
311,810201084337803264
312,1381307364360458242
313,1381516405514854402
314,1382675616198230019
315,902201112
316,207010448
317,1347521788088037376
318,1382626352856244225
319,1188481797933297666
320,2532286225
321,1247081895252246529
322,708061594
323,940548492459683840
324,1347389842389233664
325,1378974347319242753
326,2528725653
327,1378186134048493568
328,1359917468882329605
329,3130794686
330,1368057527473041411
331,232615219
332,836499182441488384
333,1335339139932114944
334,1381194464383893505
335,482530887
336,1282014693729505280
337,825181543698153472
338,281437999
339,1372796028080951305
340,1304997005266046977
341,785660354428866560
342,269432596
343,1382496696681197568
344,17167052
345,67979506
346,1381788420503187459
347,1382482874532818946
348,139409901
349,947588520188592129
350,108722610
351,212830737
352,2916182693
353,488116861
354,4257409635
355,534797182
356,1216828842033209345
357,840562639
358,1382411526091460614
