,id,created_at,text,in_reply_to_screen_name,favorite_count,user.id,user.name,retweeted_status.id,date
0,1576595419626340355,Sun Oct 02 15:30:14 +0000 2022,"RT @CaFiatEmptor: Satoshi Nakamoto wanted to disintermediate the financial system!

🦾No other blockchain is as decentralized &amp; impenetrable…",,0,859863589842280449,Bidmaster777,1.5765945685561876e+18,2022-10-02
1,1576594568556187649,Sun Oct 02 15:26:51 +0000 2022,"Satoshi Nakamoto wanted to disintermediate the financial system!

🦾No other blockchain is as decentralized &amp; impene… https://t.co/NdIow6pdTG",,8,3377662565,CaFiatEmptor,,2022-10-02
2,1575719544664068097,Fri Sep 30 05:29:49 +0000 2022,RT @blaumanbtr: Straightforward question - simple answer: $DFI from @defichain #NativeDeFi #passiveincome ❣️,,0,859863589842280449,Bidmaster777,1.5757179217786757e+18,2022-09-30
3,1575717921778675713,Fri Sep 30 05:23:22 +0000 2022,Straightforward question - simple answer: $DFI from @defichain #NativeDeFi #passiveincome ❣️,,3,30189732,markus,,2022-09-30
4,1575194677086539776,Wed Sep 28 18:44:11 +0000 2022,"RT @CaFiatEmptor: Satoshi Nakamoto wanted to disintermediate the financial system!

🦾No other blockchain is as decentralized &amp; impenetrable…",,0,859863589842280449,Bidmaster777,1.5751934640476652e+18,2022-09-28
5,1575193464047665152,Wed Sep 28 18:39:22 +0000 2022,"Satoshi Nakamoto wanted to disintermediate the financial system!

🦾No other blockchain is as decentralized &amp; impene… https://t.co/008mM2zp3d",,8,3377662565,CaFiatEmptor,,2022-09-28
6,1574641829705760768,Tue Sep 27 06:07:22 +0000 2022,RT @NavExM: $NAVC is a fixed supply value variance inflationary token designed as a steady cryptocurrency with continuous capital appreciat…,,0,1572470112707555329,Anil Kumar,1.5732634623689728e+18,2022-09-27
7,1574500214140026925,Mon Sep 26 20:44:38 +0000 2022,"RT @CaFiatEmptor: Satoshi Nakamoto wanted to disintermediate the financial system!

🦾No other blockchain is as decentralized &amp; impenetrable…",,0,859863589842280449,Bidmaster777,1.5744965696966984e+18,2022-09-26
8,1574496569696698389,Mon Sep 26 20:30:09 +0000 2022,"Satoshi Nakamoto wanted to disintermediate the financial system!

🦾No other blockchain is as decentralized &amp; impene… https://t.co/Urrpekk5fr",,9,3377662565,CaFiatEmptor,,2022-09-26
9,1573344984937512964,Fri Sep 23 16:14:10 +0000 2022,RT @DrPamsuka: Be funemployed! Stop working for money and let your money work for you! Wanna know more? check out @defichain and their #Nat…,,0,859863589842280449,Bidmaster777,1.5733436228119634e+18,2022-09-23
10,1573343622811963398,Fri Sep 23 16:08:45 +0000 2022,Be funemployed! Stop working for money and let your money work for you! Wanna know more? check out @defichain and t… https://t.co/ZE4Rbmg7iJ,,5,1510612940914835462,Dr. Pamsuka,,2022-09-23
