,defichain_Activity,defichain_Reply,defichain_Likes,defichain_Retweet,defichain_Tweet,dfi_Activity,dfi_Reply,dfi_Likes,dfi_Retweet,dfi_Tweet,overall_Activity,overall_Reply,overall_Likes,overall_Retweet,overall_Tweet,overall_UniqueUserOverall,overall_UniqueUserReply,overall_UniqueUserRetweet,overall_UniqueUserTweet,nativeDefi_Activity,nativeDefi_Reply,nativeDefi_Likes,nativeDefi_Retweet,nativeDefi_Tweet,hashtagDFI_Activity,hashtagDFI_Reply,hashtagDFI_Likes,hashtagDFI_Retweet,hashtagDFI_Tweet
2022-10-04,36,9,24.0,25,2.0,110.0,1.0,214.0,55.0,54.0,157.0,9.0,234.0,91.0,57.0,47.0,7.0,37.0,7.0,,,,,,41.0,0.0,93.0,19.0,22.0
2022-10-03,315,87,334.0,209,19.0,436.0,9.0,619.0,196.0,231.0,1061.0,138.0,2027.0,562.0,361.0,236.0,75.0,148.0,54.0,,,,,,448.0,21.0,1242.0,216.0,211.0
2022-10-02,581,215,1363.0,318,48.0,503.0,11.0,819.0,262.0,230.0,1234.0,229.0,2611.0,647.0,358.0,307.0,108.0,182.0,67.0,2.0,0.0,8.0,1.0,1.0,812.0,4.0,2262.0,396.0,412.0
2022-10-01,361,122,670.0,214,25.0,476.0,8.0,847.0,240.0,228.0,1048.0,183.0,2048.0,536.0,329.0,295.0,107.0,190.0,58.0,,,,,,944.0,10.0,1020.0,587.0,347.0
2022-09-30,153,44,234.0,89,20.0,359.0,6.0,744.0,157.0,196.0,972.0,92.0,1886.0,566.0,314.0,360.0,64.0,261.0,62.0,2.0,0.0,3.0,1.0,1.0,999.0,4.0,2977.0,446.0,549.0
2022-09-29,188,80,249.0,88,20.0,765.0,7.0,1024.0,224.0,534.0,1248.0,137.0,1333.0,687.0,424.0,267.0,89.0,148.0,67.0,,,,,,1469.0,87.0,5586.0,559.0,823.0
2022-09-28,310,128,460.0,161,21.0,668.0,9.0,963.0,316.0,343.0,1560.0,273.0,1902.0,823.0,464.0,487.0,164.0,284.0,100.0,2.0,0.0,8.0,1.0,1.0,2139.0,126.0,4042.0,1342.0,671.0
2022-09-27,472,231,881.0,208,33.0,889.0,13.0,1418.0,513.0,363.0,1804.0,312.0,3068.0,999.0,493.0,569.0,187.0,352.0,116.0,1.0,0.0,0.0,1.0,,1724.0,222.0,2502.0,890.0,612.0
2022-09-26,1034,311,1159.0,688,35.0,715.0,16.0,1041.0,422.0,277.0,1808.0,319.0,2498.0,959.0,530.0,741.0,212.0,502.0,212.0,2.0,0.0,9.0,1.0,1.0,1741.0,10.0,3990.0,863.0,868.0
2022-09-25,401,145,544.0,237,19.0,1039.0,20.0,1599.0,454.0,565.0,1403.0,159.0,2095.0,636.0,608.0,300.0,104.0,202.0,61.0,,,,,,1005.0,153.0,2424.0,342.0,510.0
2022-09-24,673,221,817.0,412,40.0,610.0,20.0,788.0,391.0,199.0,1124.0,226.0,1357.0,659.0,239.0,425.0,171.0,319.0,73.0,,,,,,3065.0,261.0,2767.0,2445.0,359.0
2022-09-23,2411,677,2206.0,1645,89.0,1284.0,15.0,708.0,1112.0,157.0,3017.0,663.0,3495.0,2024.0,330.0,1003.0,451.0,857.0,136.0,24.0,0.0,55.0,17.0,7.0,3319.0,24.0,5274.0,3181.0,114.0
2022-09-22,2979,334,5700.0,2251,394.0,3331.0,13.0,4782.0,2688.0,630.0,4065.0,307.0,6097.0,3061.0,697.0,441.0,129.0,271.0,114.0,137.0,0.0,160.0,115.0,22.0,576.0,29.0,730.0,477.0,70.0
2022-09-21,2696,151,3891.0,2148,397.0,2959.0,6.0,4032.0,2388.0,565.0,3206.0,142.0,4303.0,2467.0,597.0,334.0,77.0,205.0,100.0,147.0,0.0,173.0,122.0,25.0,608.0,45.0,585.0,501.0,62.0
2022-09-20,2940,432,4405.0,2178,330.0,3392.0,42.0,3376.0,2404.0,946.0,4418.0,393.0,5306.0,3096.0,929.0,424.0,150.0,281.0,90.0,107.0,0.0,116.0,89.0,18.0,1421.0,75.0,6373.0,1034.0,312.0
2022-09-19,2687,231,6480.0,2073,383.0,3458.0,9.0,3547.0,2545.0,904.0,3866.0,204.0,5720.0,2712.0,950.0,364.0,108.0,227.0,97.0,133.0,0.0,169.0,111.0,22.0,196.0,8.0,212.0,170.0,18.0
