,ownerAuthAddress,operatorAuthAddress,creationHeight,resignHeight,resignTx,banTx,state,mintedBlocks,ownerIsMine,operatorIsMine,localMasternode,targetMultiplier
cff32449a49ebe123e407e057214757e0f7c56f08b172f456e8f0b31dd80c784,8Wpyi7XiHAGPuDQGukz8UHG52UwPt6s8RQ,8R6xhAH3TWXmNmfWBFUKBKyJAuh3FVB7HB,1051145,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,0,False,False,False,4
6010b6272ab23b9cbfeb4844590e15db5b52dfcd7aa647f8bf19ae28228e3b92,8YU7n5BbzuTeeVr6adEmNSvLc8Sh5WYtt9,8Zd7jFW1n3ZGuF3HmNsxA5ojXFumbUKwdW,1051136,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,0,False,False,False,4
c4166ef0fd1e3c05520af1848b1ef94744df349cc1428caccc5a2c9096a2ff19,8Kfnh9Q2yqywvqSx4kzGMDDEtuCwRqDidX,8Tt7Fp6cdRPqwh1LxbtQ6KjzxnNv5HShV4,1049841,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,0,False,False,False,6
e3fcc1a649167e464c64e66dc9d7b33d0c2929c9a3eb699529156ae0a4d0e1ef,8Vi4z3hvkx2xKNxWMBHJdo2EmGJjd5eJmW,8cHzBVkY74yeuKWmKE4WALsoxFkKPixPrU,1049401,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,0,False,False,False,7
51ee27a882497096094e91806678d3a01c84106f8b405030eea31a9d877b7e9e,8ZPbdp1PxNtvJurBux1mVpFxYn2EsA4gxD,8NfgzNYVLr1eZmtLSFJA2XHDHHe5g9sYgV,1049344,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,0,False,False,False,7
0f36ae24d402d7e62fc55fb3ac2d61926383ebfb097e5ada6a28b3c538ddfc61,8N5NrUx1Wt2GqgQGi2QYfVMZfrYx8g56Vy,8ZsP3jYuyrfpHY2fxXA1KRZvp5HszV5k1q,1049194,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,3
d1d0c90143c0bd8564cec8cb090156e48f59ebb221a3adb83184c092b0eebfe2,8YHhFPmvFm1NA9AmTDrdVJgZZ5bnsacLZ4,8e7JpkcQoTbRcpPLEfn1C4VMUm74ATT8AF,1048683,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,0,False,False,False,8
9f212054c66a4a07ed2ae68f42551e905075b0252e80820712b323cf76fddbf3,8a5nwk19ZAZ7r4geBrf4x1FiXdTfdWWBnx,8aKgtu89r17kaKK32QZXiXtmBHp1Fbeggd,1048677,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,0,False,False,False,8
3f8bece37080fd3a7e336fc22cf3e082b290bfb83f667de32c69c8f34185d315,8NzMPvcvrKHnJboKnjmsaf57wkjmz8rZyC,8PAFyQkNPdBe1Q3eTvYyDeeATUeRF8WzG8,1047920,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,3
b13583f66ed2764c167c6028a981f0841e5a351232bc447e794782c27dafca21,8RAcdaQW3Hf3NoEHBCNJLXVoE3PVM77xYR,8USTNc9DcRqKCuxavJat6X9C632FzjXmGQ,1047615,-1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,ENABLED,1,False,False,False,1
