,txid,type,amounts_x,height,timeRaw,amounts_y,owner,txn,amounts,block
2023-01-05 13:36:49+00:00,6278a67260fb2c68edc81e780ae1e5b20c01a4672ebeae201101b833518739eb,PoolSwap,-890.43530586,2559931.0,1672925809.0,618.58476934,,,,
2023-01-05 12:38:00+00:00,9e1519a43ef9a0783a150eaa39ead29bfc5ac59fc72b6f90350c5da2564bc5ae,PoolSwap,-851.43813918,2559797.0,1672922280.0,591.89032457,,,,
2023-01-05 11:38:17+00:00,0d796b1d3fdf7b87d1e11f325eed4ddab278b4f641e54c872f7dc97de52dcbf9,PoolSwap,-935.93200032,2559663.0,1672918697.0,650.59436776,,,,
2023-01-05 10:36:32+00:00,b4f67ec1a470a92289e7eac5c2d2c93f6df197b5927eff0d265baf3e36d3ffb3,PoolSwap,-792.94238916,2559519.0,1672914992.0,551.10820735,,,,
2023-01-05 09:40:29+00:00,23d5c29f8a11d395d7da3596f46cfbd5829b27648bc6570d55f467cf8f5e637a,PoolSwap,-844.9386114,2559397.0,1672911629.0,587.30680153,,,,
2023-01-05 08:38:22+00:00,c2ca291d33d943ccbe5bd20a6063f34222118b1fcdc776f8ff5a534628e7dc91,PoolSwap,-714.9480558,2559267.0,1672907902.0,497.05857546,,,,
2023-01-05 07:37:29+00:00,f8c16464b2e0f7158f04eb3a6601ddd5ff727cf766d2319c1b101450bd2897b6,PoolSwap,-779.9433336,2559157.0,1672904249.0,542.3260427,,,,
2023-01-05 06:36:54+00:00,96735f6188ba4b57a0ca85410093231053e38232bb36a7d46251a2ca1678b403,PoolSwap,-760.44475026,2559037.0,1672900614.0,528.87044645,,,,
2023-01-05 05:38:40+00:00,322f60a852569187d84e778a96e629e03dbc4f4ec85e35f097f2661274a0ba0b,PoolSwap,-838.43908362,2558920.0,1672897120.0,583.15757717,,,,
2023-01-05 04:37:41+00:00,2ed959406bf389f8a492e392b32bc25ffdb88edd01763b5a07cd9818d76ea1d9,PoolSwap,-649.952778,2558793.0,1672893461.0,452.09934788,,,,
2023-01-05 03:36:46+00:00,7297dce7d045c72f47ee2f70608f8e131894f098e5c75a7f694979ac98ccbaca,PoolSwap,-649.952778,2558691.0,1672889806.0,452.1290848,,,,
2023-01-05 02:36:36+00:00,4f38d96a9c9757d040e5490e333db536e217d873bcebeebdedd2847e08ef3542,PoolSwap,-870.93672252,2558591.0,1672886196.0,605.90290094,,,,
2023-01-05 01:39:08+00:00,b4cd8b640c8cb7c7af30b9e841bf41fc57e75738a1ee7866fc3dfc96324209b3,PoolSwap,-753.94522248,2558457.0,1672882748.0,524.54558871,,,,
2023-01-05 00:38:37+00:00,b52bc3f7a7159eb73f7f8d8ba29bb31dbfd642a4ce03b85ab2a99fa3403f93e3,PoolSwap,-734.44663914,2558341.0,1672879117.0,511.06514208,,,,
2023-01-04 23:36:42+00:00,0cbf1817dd475dcb8075bdc66aa1a7b69e00ec1a8c4946fcfd805f5951fec1f2,PoolSwap,-786.44286138,2558228.0,1672875402.0,547.27185606,,,,
2023-01-04 22:36:43+00:00,ae43b0ef285d51788e15cf4bef3b38b4cd812176ddfdd118447f268878f617ed,PoolSwap,-708.44852802,2558108.0,1672871803.0,493.03842785,,,,
