,DateCaptured,Windows,Mac,Linux
v1.4.2,2021-04-21,112,38.0,5.0
v1.4.1,2021-04-21,233,92.0,28.0
v1.4.0,2021-04-21,306,112.0,31.0
v1.3.0,2021-04-21,88,75.0,24.0
v1.2.1,2021-04-21,190,,
v1.1.0,2021-04-21,187,,
v1.0.0,2021-04-21,85,,
v1.4.2,2021-04-22,112,38.0,5.0
v1.4.1,2021-04-22,233,92.0,28.0
v1.4.0,2021-04-22,306,112.0,31.0
v1.3.0,2021-04-22,88,75.0,24.0
v1.2.1,2021-04-22,190,,
v1.1.0,2021-04-22,187,,
v1.0.0,2021-04-22,85,,
v1.4.2,2021-04-23,117,42.0,5.0
v1.4.1,2021-04-23,233,92.0,28.0
v1.4.0,2021-04-23,307,112.0,31.0
v1.3.0,2021-04-23,88,75.0,24.0
v1.2.1,2021-04-23,190,,
v1.1.0,2021-04-23,187,,
v1.0.0,2021-04-23,85,,
v1.4.2,2021-04-24,124,50.0,6.0
v1.4.1,2021-04-24,233,92.0,28.0
v1.4.0,2021-04-24,307,112.0,31.0
v1.3.0,2021-04-24,88,75.0,24.0
v1.2.1,2021-04-24,190,,
v1.1.0,2021-04-24,187,,
v1.0.0,2021-04-24,85,,
v1.4.2,2021-04-25,133,56.0,8.0
v1.4.1,2021-04-25,233,92.0,28.0
v1.4.0,2021-04-25,309,112.0,31.0
v1.3.0,2021-04-25,88,75.0,24.0
v1.2.1,2021-04-25,190,,
v1.1.0,2021-04-25,187,,
v1.0.0,2021-04-25,85,,
v1.4.2,2021-04-26,143,58.0,9.0
v1.4.1,2021-04-26,233,93.0,28.0
v1.4.0,2021-04-26,309,113.0,31.0
v1.3.0,2021-04-26,88,75.0,24.0
v1.2.1,2021-04-26,190,,
v1.1.0,2021-04-26,187,,
v1.0.0,2021-04-26,85,,
v1.4.2,2021-04-27,146,63.0,10.0
v1.4.1,2021-04-27,233,93.0,28.0
v1.4.0,2021-04-27,310,113.0,31.0
v1.3.0,2021-04-27,88,75.0,24.0
v1.2.1,2021-04-27,190,,
v1.1.0,2021-04-27,187,,
v1.0.0,2021-04-27,85,,
v1.4.2,2021-04-28,151,63.0,10.0
v1.4.1,2021-04-28,233,93.0,28.0
v1.4.0,2021-04-28,310,113.0,31.0
v1.3.0,2021-04-28,88,75.0,24.0
v1.2.1,2021-04-28,190,,
v1.1.0,2021-04-28,187,,
v1.0.0,2021-04-28,85,,
v1.4.2,2021-04-29,162,67.0,11.0
v1.4.1,2021-04-29,233,93.0,28.0
v1.4.0,2021-04-29,310,113.0,31.0
v1.3.0,2021-04-29,88,75.0,24.0
v1.2.1,2021-04-29,190,,
v1.1.0,2021-04-29,187,,
v1.0.0,2021-04-29,85,,
v1.4.2,2021-04-30,173,73.0,12.0
v1.4.1,2021-04-30,233,93.0,28.0
v1.4.0,2021-04-30,311,113.0,31.0
v1.3.0,2021-04-30,88,75.0,24.0
v1.2.1,2021-04-30,190,,
v1.1.0,2021-04-30,187,,
v1.0.0,2021-04-30,85,,
v1.4.2,2021-05-01,180,79.0,12.0
v1.4.1,2021-05-01,233,93.0,28.0
v1.4.0,2021-05-01,311,114.0,31.0
v1.3.0,2021-05-01,88,75.0,24.0
v1.2.1,2021-05-01,190,,
v1.1.0,2021-05-01,187,,
v1.0.0,2021-05-01,85,,
v1.4.2,2021-05-02,192,81.0,14.0
v1.4.1,2021-05-02,233,93.0,28.0
v1.4.0,2021-05-02,313,114.0,31.0
v1.3.0,2021-05-02,88,75.0,24.0
v1.2.1,2021-05-02,190,,
v1.1.0,2021-05-02,187,,
v1.0.0,2021-05-02,85,,
v1.4.2,2021-05-03,203,85.0,20.0
v1.4.1,2021-05-03,233,93.0,28.0
v1.4.0,2021-05-03,314,114.0,31.0
v1.3.0,2021-05-03,88,75.0,24.0
v1.2.1,2021-05-03,190,,
v1.1.0,2021-05-03,187,,
v1.0.0,2021-05-03,85,,
v1.4.2,2021-05-04,220,86.0,21.0
v1.4.1,2021-05-04,233,93.0,28.0
v1.4.0,2021-05-04,315,114.0,31.0
v1.3.0,2021-05-04,88,75.0,24.0
v1.2.1,2021-05-04,190,,
v1.1.0,2021-05-04,187,,
v1.0.0,2021-05-04,85,,
v1.4.2,2021-05-05,228,91.0,21.0
v1.4.1,2021-05-05,233,93.0,28.0
v1.4.0,2021-05-05,316,114.0,31.0
v1.3.0,2021-05-05,88,75.0,24.0
v1.2.1,2021-05-05,190,,
v1.1.0,2021-05-05,187,,
v1.0.0,2021-05-05,85,,
v1.4.2,2021-05-06,234,93.0,23.0
v1.4.1,2021-05-06,233,93.0,28.0
v1.4.0,2021-05-06,317,114.0,31.0
v1.3.0,2021-05-06,88,75.0,24.0
v1.2.1,2021-05-06,190,,
v1.1.0,2021-05-06,187,,
v1.0.0,2021-05-06,85,,
v1.4.2,2021-05-07,244,95.0,24.0
v1.4.1,2021-05-07,233,94.0,29.0
v1.4.0,2021-05-07,317,115.0,31.0
v1.3.0,2021-05-07,88,75.0,24.0
v1.2.1,2021-05-07,190,,
v1.1.0,2021-05-07,187,,
v1.0.0,2021-05-07,85,,
v1.4.2,2021-05-08,256,97.0,25.0
v1.4.1,2021-05-08,234,94.0,30.0
v1.4.0,2021-05-08,318,115.0,31.0
v1.3.0,2021-05-08,88,75.0,24.0
v1.2.1,2021-05-08,190,,
v1.1.0,2021-05-08,187,,
v1.0.0,2021-05-08,85,,
v1.4.2,2021-05-09,261,103.0,26.0
v1.4.1,2021-05-09,234,95.0,30.0
v1.4.0,2021-05-09,318,115.0,32.0
v1.3.0,2021-05-09,88,75.0,24.0
v1.2.1,2021-05-09,190,,
v1.1.0,2021-05-09,187,,
v1.0.0,2021-05-09,85,,
v1.4.2,2021-05-10,265,103.0,27.0
v1.4.1,2021-05-10,234,95.0,30.0
v1.4.0,2021-05-10,320,115.0,32.0
v1.3.0,2021-05-10,88,75.0,24.0
v1.2.1,2021-05-10,190,,
v1.1.0,2021-05-10,187,,
v1.0.0,2021-05-10,85,,
v1.4.2,2021-05-11,270,109.0,30.0
v1.4.1,2021-05-11,234,95.0,30.0
v1.4.0,2021-05-11,320,115.0,32.0
v1.3.0,2021-05-11,88,75.0,24.0
v1.2.1,2021-05-11,190,,
v1.1.0,2021-05-11,187,,
v1.0.0,2021-05-11,87,,
v1.4.2,2021-05-12,277,115.0,32.0
v1.4.1,2021-05-12,234,95.0,30.0
v1.4.0,2021-05-12,320,115.0,32.0
v1.3.0,2021-05-12,88,75.0,24.0
v1.2.1,2021-05-12,190,,
v1.1.0,2021-05-12,187,,
v1.0.0,2021-05-12,87,,
v1.4.2,2021-05-13,284,127.0,32.0
v1.4.1,2021-05-13,234,95.0,30.0
v1.4.0,2021-05-13,320,116.0,32.0
v1.3.0,2021-05-13,88,75.0,24.0
v1.2.1,2021-05-13,190,,
v1.1.0,2021-05-13,187,,
v1.0.0,2021-05-13,88,,
v1.4.2,2021-05-14,289,130.0,34.0
v1.4.1,2021-05-14,234,95.0,30.0
v1.4.0,2021-05-14,320,116.0,32.0
v1.3.0,2021-05-14,88,75.0,24.0
v1.2.1,2021-05-14,190,,
v1.1.0,2021-05-14,187,,
v1.0.0,2021-05-14,88,,
v1.4.2,2021-05-15,295,136.0,35.0
v1.4.1,2021-05-15,234,95.0,30.0
v1.4.0,2021-05-15,322,116.0,32.0
v1.3.0,2021-05-15,88,75.0,24.0
v1.2.1,2021-05-15,190,,
v1.1.0,2021-05-15,187,,
v1.0.0,2021-05-15,88,,
v1.4.2,2021-05-16,296,138.0,36.0
v1.4.1,2021-05-16,234,95.0,30.0
v1.4.0,2021-05-16,322,116.0,32.0
v1.3.0,2021-05-16,88,75.0,24.0
v1.2.1,2021-05-16,190,,
v1.1.0,2021-05-16,187,,
v1.0.0,2021-05-16,88,,
v1.4.2,2021-05-17,305,138.0,37.0
v1.4.1,2021-05-17,234,95.0,30.0
v1.4.0,2021-05-17,322,116.0,32.0
v1.3.0,2021-05-17,88,75.0,24.0
v1.2.1,2021-05-17,190,,
v1.1.0,2021-05-17,187,,
v1.0.0,2021-05-17,88,,
v1.4.2,2021-05-18,309,138.0,38.0
v1.4.1,2021-05-18,234,95.0,30.0
v1.4.0,2021-05-18,322,116.0,32.0
v1.3.0,2021-05-18,88,75.0,24.0
v1.2.1,2021-05-18,190,,
v1.1.0,2021-05-18,187,,
v1.0.0,2021-05-18,88,,
v1.4.2,2021-05-19,313,140.0,38.0
v1.4.1,2021-05-19,234,95.0,30.0
v1.4.0,2021-05-19,323,116.0,32.0
v1.3.0,2021-05-19,88,75.0,24.0
v1.2.1,2021-05-19,190,,
v1.1.0,2021-05-19,187,,
v1.0.0,2021-05-19,88,,
v1.4.2,2021-05-20,316,141.0,39.0
v1.4.1,2021-05-20,234,95.0,30.0
v1.4.0,2021-05-20,323,116.0,32.0
v1.3.0,2021-05-20,88,75.0,24.0
v1.2.1,2021-05-20,190,,
v1.1.0,2021-05-20,187,,
v1.0.0,2021-05-20,88,,
v1.4.2,2021-05-21,321,143.0,41.0
v1.4.1,2021-05-21,234,95.0,30.0
v1.4.0,2021-05-21,323,116.0,32.0
v1.3.0,2021-05-21,88,75.0,24.0
v1.2.1,2021-05-21,190,,
v1.1.0,2021-05-21,187,,
v1.0.0,2021-05-21,88,,
v1.4.2,2021-05-22,322,144.0,41.0
v1.4.1,2021-05-22,234,95.0,30.0
v1.4.0,2021-05-22,323,116.0,32.0
v1.3.0,2021-05-22,88,75.0,24.0
v1.2.1,2021-05-22,190,,
v1.1.0,2021-05-22,187,,
v1.0.0,2021-05-22,88,,
v1.4.2,2021-05-23,327,149.0,41.0
v1.4.1,2021-05-23,234,95.0,30.0
v1.4.0,2021-05-23,323,116.0,32.0
v1.3.0,2021-05-23,88,75.0,24.0
v1.2.1,2021-05-23,190,,
v1.1.0,2021-05-23,187,,
v1.0.0,2021-05-23,88,,
v1.4.2,2021-05-24,332,150.0,42.0
v1.4.1,2021-05-24,234,95.0,30.0
v1.4.0,2021-05-24,323,116.0,32.0
v1.3.0,2021-05-24,88,75.0,24.0
v1.2.1,2021-05-24,190,,
v1.1.0,2021-05-24,187,,
v1.0.0,2021-05-24,88,,
v1.4.2,2021-05-25,334,152.0,42.0
v1.4.1,2021-05-25,234,95.0,30.0
v1.4.0,2021-05-25,323,116.0,32.0
v1.3.0,2021-05-25,88,75.0,24.0
v1.2.1,2021-05-25,190,,
v1.1.0,2021-05-25,187,,
v1.0.0,2021-05-25,89,,
v1.4.2,2021-05-26,337,154.0,45.0
v1.4.1,2021-05-26,234,95.0,30.0
v1.4.0,2021-05-26,323,116.0,32.0
v1.3.0,2021-05-26,88,75.0,24.0
v1.2.1,2021-05-26,190,,
v1.1.0,2021-05-26,187,,
v1.0.0,2021-05-26,89,,
v1.4.2,2021-05-27,343,156.0,45.0
v1.4.1,2021-05-27,234,95.0,30.0
v1.4.0,2021-05-27,323,116.0,32.0
v1.3.0,2021-05-27,88,75.0,24.0
v1.2.1,2021-05-27,190,,
v1.1.0,2021-05-27,187,,
v1.0.0,2021-05-27,90,,
