,0
2021-03-17 00:00:00,0
2021-03-18 00:00:00,11
2021-03-19 00:00:00,328
2021-03-20 00:00:00,338
2021-03-21 00:00:00,392
2021-03-22 00:00:00,392
2021-03-23 00:00:00,398
2021-03-24 00:00:00,400
2021-03-25 00:00:00,366
2021-03-26 00:00:00,392
2021-03-27 00:00:00,407
2021-03-28 00:00:00,372
2021-03-29 00:00:00,410
2021-03-30 00:00:00,507
2021-03-31 00:00:00,435
2021-04-01 00:00:00,464
2021-04-02 00:00:00,364
2021-04-03 00:00:00,374
2021-04-04 00:00:00,397
2021-04-05 00:00:00,526
2021-04-06 00:00:00,450
2021-04-07 00:00:00,429
2021-04-08 00:00:00,402
2021-04-09 00:00:00,376
2021-04-10 00:00:00,506
2021-04-11 00:00:00,609
2021-04-12 00:00:00,641
2021-04-13 00:00:00,641
2021-04-14 00:00:00,693
2021-04-15 00:00:00,629
2021-04-16 00:00:00,581
