,postActive,postsDeclined,postsWaiting,mediaActive,mediaDeclined,mediaWaiting,incentivePointsCurrentRound,incentivePointsOverall,incentivePointsToday,incentiveUsers
2021-04-28,140,70,22,33,0,39,,,,
2021-04-29,140,74,20,33,0,39,,,,
2021-04-30,141,7,31,33,0,42,,,,
2021-05-01,148,28,12,115,7,0,,,,
2021-05-02,149,32,17,131,14,1,,,,
2021-05-03,150,32,21,169,45,0,,,,
2021-05-04,151,33,24,187,62,6,,,,
2021-05-05,153,33,25,201,66,0,,,,
2021-05-06,157,35,26,202,66,0,,,,
2021-05-07,161,35,73,212,76,0,1968.797005534172,1968.797004528344,1968.797004528344,202.0
2021-05-08,161,35,121,236,84,0,4003.945005998016,4003.945004194975,2027.5229996666312,202.0
2021-05-09,177,0,98,232,86,7,5652.192757114768,5652.192755661905,1645.1727514192462,202.0
2021-05-10,177,0,125,234,88,10,7467.495758548379,7467.4962514564395,1815.3034957945347,202.0
