,fiatAmount,fiatCurrency,date,cryptoAmount,cryptoCurrency,order
1,9.13,EUR,2021-08-27T16:42:54.000Z,3.7808038,DFI,buy
3,91.28,EUR,2021-08-27T16:42:54.000Z,37.79975586,DFI,buy
14,100.0,EUR,2021-08-28T19:46:05.000Z,41.16371744,DFI,buy
9,25.0,EUR,2021-08-28T19:46:05.000Z,10.29092936,DFI,buy
38,250.0,EUR,2021-08-30T20:41:11.000Z,104.07348665,DFI,buy
36,20.0,EUR,2021-08-30T20:41:11.000Z,8.32587893,DFI,buy
18,91.53,EUR,2021-08-30T20:41:11.000Z,38.10338493,DFI,buy
19,100.0,EUR,2021-08-30T20:41:11.000Z,41.62939466,DFI,buy
16,25.0,EUR,2021-08-30T20:41:11.000Z,10.40734867,DFI,buy
24,45.77,EUR,2021-08-30T20:41:11.000Z,19.05377394,DFI,buy
89,500.0,EUR,2021-08-30T20:53:17.000Z,208.14695722,DFI,buy
8,50.0,EUR,2021-08-30T20:57:46.000Z,0.00121246,dBTC,buy
29,100.0,EUR,2021-08-30T20:57:46.000Z,0.00242493,dBTC,buy
25,150.0,EUR,2021-08-30T20:57:46.000Z,0.05391489,dETH,buy
17,50.0,EUR,2021-08-30T22:29:00.000Z,21.08046842,DFI,buy
26,10.0,EUR,2021-08-31T00:07:43.000Z,4.27555231,DFI,buy
37,50.0,EUR,2021-08-31T00:07:43.000Z,21.37776154,DFI,buy
0,20.0,EUR,2021-08-31T00:07:43.000Z,8.55110462,DFI,buy
113,30.0,EUR,2021-08-31T13:35:44.000Z,12.57099373,DFI,buy
118,45.51,EUR,2021-08-31T13:35:44.000Z,19.0701975,DFI,buy
183,500.0,EUR,2021-08-31T13:35:44.000Z,209.51656225,DFI,buy
109,908.82,EUR,2021-08-31T13:35:44.000Z,380.8256842,DFI,buy
108,90.88,EUR,2021-08-31T13:35:44.000Z,38.08173035,DFI,buy
4,90.91,EUR,2021-08-31T13:35:44.000Z,38.09430135,DFI,buy
22,900.0,EUR,2021-08-31T13:35:44.000Z,377.12981204,DFI,buy
96,45.44,EUR,2021-08-31T13:35:44.000Z,19.04086518,DFI,buy
92,272.65,EUR,2021-08-31T13:35:44.000Z,114.24938139,DFI,buy
119,45.51,EUR,2021-08-31T14:15:27.000Z,0.00112779,dBTC,buy
111,100.0,EUR,2021-08-31T22:57:27.000Z,42.5813017,DFI,buy
114,25.0,EUR,2021-08-31T22:57:27.000Z,10.64532543,DFI,buy
91,10.0,EUR,2021-08-31T22:57:27.000Z,4.25813017,DFI,buy
161,50.0,EUR,2021-08-31T22:57:27.000Z,21.29065085,DFI,buy
120,20.0,EUR,2021-08-31T22:57:27.000Z,8.51626034,DFI,buy
158,15.0,EUR,2021-08-31T22:57:27.000Z,6.38719526,DFI,buy
151,41.5,EUR,2021-08-31T22:57:34.000Z,0.00104663,dBTC,buy
185,150.0,EUR,2021-09-01T11:14:22.000Z,62.89369955,DFI,buy
124,100.0,EUR,2021-09-01T11:14:22.000Z,41.92913303,DFI,buy
201,500.0,EUR,2021-09-01T11:14:22.000Z,209.64566516,DFI,buy
121,20.0,EUR,2021-09-01T11:14:22.000Z,8.38582661,DFI,buy
198,908.29,EUR,2021-09-01T11:14:22.000Z,380.83812242,DFI,buy
117,50.0,EUR,2021-09-01T11:14:22.000Z,20.96456652,DFI,buy
23,900.0,EUR,2021-09-01T11:14:22.000Z,377.36219729,DFI,buy
137,10.0,EUR,2021-09-01T11:14:22.000Z,4.1929133,DFI,buy
194,90.83,EUR,2021-09-01T11:14:22.000Z,38.08423153,DFI,buy
209,10.0,EUR,2021-09-01T11:23:51.000Z,0.00024832,dBTC,buy
204,75.0,EUR,2021-09-01T11:23:51.000Z,0.00186243,dBTC,buy
218,100.0,EUR,2021-09-01T11:23:51.000Z,0.00248324,dBTC,buy
217,20.0,EUR,2021-09-01T11:23:51.000Z,0.00049665,dBTC,buy
203,100.0,EUR,2021-09-01T11:39:38.000Z,0.0335072,dETH,buy
205,10.0,EUR,2021-09-01T16:59:17.000Z,4.19286632,DFI,buy
116,100.0,EUR,2021-09-01T18:41:19.000Z,40.91950837,DFI,buy
227,10.0,EUR,2021-09-01T18:41:19.000Z,0.00024275,dBTC,buy
226,25.0,EUR,2021-09-01T18:41:19.000Z,10.22987709,DFI,buy
112,25.0,EUR,2021-09-02T13:47:46.000Z,10.26022898,DFI,buy
216,54.47,EUR,2021-09-02T13:47:46.000Z,22.35498691,DFI,buy
193,10.0,EUR,2021-09-02T13:47:46.000Z,4.10409159,DFI,buy
250,45.39,EUR,2021-09-02T13:47:46.000Z,18.62847174,DFI,buy
186,280.0,EUR,2021-09-02T13:47:46.000Z,114.91456463,DFI,buy
225,90.79,EUR,2021-09-02T13:47:46.000Z,37.26104758,DFI,buy
228,20.0,EUR,2021-09-02T13:47:46.000Z,8.20818319,DFI,buy
40,900.0,EUR,2021-09-02T13:47:46.000Z,369.36824345,DFI,buy
230,100.0,EUR,2021-09-02T13:47:46.000Z,41.04091594,DFI,buy
254,23.19,EUR,2021-09-02T13:52:30.000Z,0.00056293,dBTC,buy
249,194.0,EUR,2021-09-02T13:52:30.000Z,0.06244605,dETH,buy
237,100.0,EUR,2021-09-02T13:52:30.000Z,0.03218868,dETH,buy
211,200.0,EUR,2021-09-02T13:52:30.000Z,0.00485496,dBTC,buy
256,50.0,EUR,2021-09-03T02:31:57.000Z,20.59913648,DFI,buy
269,45.32,EUR,2021-09-03T02:31:57.000Z,18.6710573,DFI,buy
197,36315.04,EUR,2021-09-03T02:31:57.000Z,14961.1693035,DFI,buy
255,10.0,EUR,2021-09-03T02:31:57.000Z,4.1198273,DFI,buy
2,400.0,EUR,2021-09-03T02:31:57.000Z,164.79309183,DFI,buy
280,9.06,EUR,2021-09-03T14:16:44.000Z,3.58212202,DFI,buy
390,500.0,EUR,2021-09-03T14:16:44.000Z,197.68885322,DFI,buy
451,200.0,EUR,2021-09-03T14:16:44.000Z,0.05954501,dETH,buy
239,25.0,EUR,2021-09-03T14:16:44.000Z,9.88444266,DFI,buy
383,80.0,EUR,2021-09-03T14:16:44.000Z,0.00186869,dBTC,buy
433,45.33,EUR,2021-09-03T14:16:44.000Z,0.00105884,dBTC,buy
342,18.13,EUR,2021-09-03T14:16:44.000Z,7.16819782,DFI,buy
190,200.0,EUR,2021-09-03T14:16:44.000Z,79.07554129,DFI,buy
385,181.35,EUR,2021-09-03T14:16:44.000Z,71.70174706,DFI,buy
422,43.0,EUR,2021-09-03T14:16:44.000Z,17.00124138,DFI,buy
331,50.0,EUR,2021-09-03T14:16:44.000Z,19.76888532,DFI,buy
41,900.0,EUR,2021-09-03T14:16:44.000Z,355.8399358,DFI,buy
468,10.0,EUR,2021-09-03T14:35:10.000Z,3.96766458,DFI,buy
485,41.0,EUR,2021-09-03T14:35:10.000Z,16.2674248,DFI,buy
484,20.0,EUR,2021-09-03T14:35:10.000Z,7.93532917,DFI,buy
281,100.0,EUR,2021-09-03T14:35:10.000Z,39.67664585,DFI,buy
393,35.0,EUR,2021-09-03T14:35:10.000Z,13.88682605,DFI,buy
231,100.0,EUR,2021-09-03T17:18:48.000Z,39.53777064,DFI,buy
229,1000.0,EUR,2021-09-03T18:18:47.000Z,395.40663372,DFI,buy
388,900.0,EUR,2021-09-06T10:14:01.000Z,353.04808894,DFI,buy
590,25.0,EUR,2021-09-06T10:14:01.000Z,9.80689136,DFI,buy
603,10.0,EUR,2021-09-06T10:14:01.000Z,3.92275654,DFI,buy
486,150.0,EUR,2021-09-06T10:14:01.000Z,58.84134816,DFI,buy
270,100.0,EUR,2021-09-06T10:14:01.000Z,39.22756544,DFI,buy
498,15.68,EUR,2021-09-06T10:14:01.000Z,6.15088226,DFI,buy
271,500.0,EUR,2021-09-06T10:14:01.000Z,196.13782719,DFI,buy
432,117.84,EUR,2021-09-06T10:14:01.000Z,46.22576311,DFI,buy
394,50.0,EUR,2021-09-06T10:14:01.000Z,19.61378272,DFI,buy
420,45.32,EUR,2021-09-06T10:14:01.000Z,17.77793266,DFI,buy
624,100.0,EUR,2021-09-06T10:18:29.000Z,0.00229412,dBTC,buy
562,10.0,EUR,2021-09-06T10:57:36.000Z,3.92275654,DFI,buy
570,500.0,EUR,2021-09-06T10:57:36.000Z,196.13782719,DFI,buy
575,10.0,EUR,2021-09-06T12:46:34.000Z,2.01135133,DFI,buy
493,10.0,EUR,2021-09-06T12:55:40.000Z,2.01135476,DFI,buy
561,10.0,EUR,2021-09-06T12:55:40.000Z,3.41756566,DFI,buy
626,100.0,EUR,2021-09-06T12:55:40.000Z,34.17565662,DFI,buy
567,5.0,EUR,2021-09-06T12:55:40.000Z,1.70878283,DFI,buy
187,350.0,EUR,2021-09-06T13:01:14.000Z,137.29647903,DFI,buy
453,20.0,EUR,2021-09-06T15:37:14.000Z,7.72043145,DFI,buy
236,10.0,EUR,2021-09-06T15:37:14.000Z,3.86021572,DFI,buy
387,200.0,EUR,2021-09-06T15:37:14.000Z,77.20431446,DFI,buy
500,100.0,EUR,2021-09-06T15:37:14.000Z,38.60215723,DFI,buy
431,50.0,EUR,2021-09-06T15:37:14.000Z,19.30107862,DFI,buy
602,10.0,EUR,2021-09-06T15:39:29.000Z,0.00023072,dBTC,buy
560,900.0,EUR,2021-09-06T15:39:29.000Z,0.02076465,dBTC,buy
588,25.0,EUR,2021-09-06T15:39:29.000Z,0.0005768,dBTC,buy
392,50.0,EUR,2021-09-06T17:38:24.000Z,19.61378272,DFI,buy
42,900.0,EUR,2021-09-06T18:06:03.000Z,353.04808894,DFI,buy
336,200.0,EUR,2021-09-06T20:05:04.000Z,77.20426991,DFI,buy
685,45.83,EUR,2021-09-07T09:04:46.000Z,0.00105523,dBTC,buy
674,45.83,EUR,2021-09-07T09:04:46.000Z,18.24791287,DFI,buy
711,200.0,EUR,2021-09-07T09:04:46.000Z,0.00460498,dBTC,buy
615,900.0,EUR,2021-09-07T09:04:46.000Z,358.34871441,DFI,buy
332,50.0,EUR,2021-09-07T09:04:46.000Z,19.90826191,DFI,buy
195,183.3,EUR,2021-09-07T09:04:46.000Z,72.98368817,DFI,buy
494,10.0,EUR,2021-09-07T09:04:46.000Z,3.98165238,DFI,buy
558,9.17,EUR,2021-09-07T09:04:46.000Z,3.65117523,DFI,buy
242,100.0,EUR,2021-09-07T09:04:46.000Z,39.81652382,DFI,buy
676,50.0,EUR,2021-09-07T09:47:08.000Z,19.90826191,DFI,buy
589,10.0,EUR,2021-09-07T12:37:50.000Z,3.98165238,DFI,buy
212,1000.0,EUR,2021-09-07T13:14:52.000Z,0.02334267,dBTC,buy
716,500.0,EUR,2021-09-07T13:14:52.000Z,199.79200143,DFI,buy
45,900.0,EUR,2021-09-07T13:14:52.000Z,359.62560257,DFI,buy
725,100.0,EUR,2021-09-07T13:14:52.000Z,39.95840029,DFI,buy
759,100.0,EUR,2021-09-07T20:38:48.000Z,43.14135432,DFI,buy
715,50.0,EUR,2021-09-07T20:38:48.000Z,21.57067716,DFI,buy
724,30.0,EUR,2021-09-07T21:24:24.000Z,0.00074941,dBTC,buy
761,175.0,EUR,2021-09-07T21:24:24.000Z,195.6529616,dUSDC,buy
559,600.0,EUR,2021-09-07T21:24:24.000Z,0.01498819,dBTC,buy
701,100.0,EUR,2021-09-07T21:24:24.000Z,111.8016923,dUSDC,buy
159,700.0,EUR,2021-09-08T09:11:14.000Z,301.98948027,DFI,buy
710,20000.0,EUR,2021-09-08T09:36:34.000Z,8926.34439042,DFI,buy
633,9.14,EUR,2021-09-08T09:36:34.000Z,4.07933939,DFI,buy
774,10.0,EUR,2021-09-08T09:36:34.000Z,4.4631722,DFI,buy
782,400.0,EUR,2021-09-08T09:36:34.000Z,178.52688781,DFI,buy
785,20.0,EUR,2021-09-08T09:36:34.000Z,8.92634439,DFI,buy
695,50.0,EUR,2021-09-08T09:36:34.000Z,22.31586098,DFI,buy
46,900.0,EUR,2021-09-08T09:36:34.000Z,401.68549757,DFI,buy
800,822.38,EUR,2021-09-08T09:36:34.000Z,367.04235499,DFI,buy
192,850.0,EUR,2021-09-08T09:36:34.000Z,379.36963659,DFI,buy
691,50.0,EUR,2021-09-08T09:37:48.000Z,0.00128622,dBTC,buy
213,790.0,EUR,2021-09-08T20:04:45.000Z,0.02003198,dBTC,buy
867,200.0,EUR,2021-09-08T20:04:45.000Z,0.00507139,dBTC,buy
702,50.0,EUR,2021-09-08T20:04:45.000Z,58.92122427,dUSDC,buy
136,53.0,EUR,2021-09-08T20:04:45.000Z,0.00134392,dBTC,buy
