,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
2021-04-01 01:03,2165915.65461284,0.0,1407267.84951643,0.0,0.0,0.0,4479805.23845366,0.0,0.0,0.0,0.0,2210378.82858274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288840.30557643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190570.65049744,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116919.36647921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1127543.05261314
2021-04-02 01:00,2185233.77138805,0.0,1422550.62068445,0.0,0.0,4514738.45380158,0.0,0.0,0.0,0.0,0.0,2230183.7619646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289949.08702468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191695.27155172,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118544.10410009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130669.85304308
2021-04-03 01:00,2316388.49963046,0.0,1439539.68546438,0.0,0.0,4528650.23855707,0.0,0.0,0.0,0.0,0.0,2246459.67755681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290364.88976556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214242.05586432,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119108.64074532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159326.35909822
2021-04-04 01:00,2339490.74750343,0.0,1432889.2755632,0.0,0.0,4540082.05685594,0.0,0.0,0.0,0.0,0.0,2278858.68252575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290611.13027821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214391.91791209,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119280.5499156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1159920.85745915
2021-04-05 01:00,2347287.33843351,0.0,1433731.8457281,0.0,0.0,4549340.71621639,0.0,0.0,0.0,0.0,0.0,2282517.40360181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290953.00787458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213563.33800903,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120530.09130352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1162771.4061784
2021-04-06 01:00,2355562.79657426,0.0,1458996.81153019,0.0,0.0,4588196.32566863,0.0,0.0,0.0,0.0,0.0,2318193.75818432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291153.34810202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213826.92009786,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120654.32296673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1163648.57535382
2021-04-07 01:00,2351018.97909582,0.0,1470658.32408241,0.0,0.0,4596279.82643399,0.0,0.0,0.0,0.0,0.0,2325216.02148801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291483.52036154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213952.24023058,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120782.88604978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1316049.95844472
2021-04-08 01:00,2353736.6909385,0.0,1581676.29433322,0.0,0.0,4601412.99440147,0.0,0.0,0.0,0.0,955546.64470961,1390855.8342527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187810.59535547,103979.47284273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30590.32565124,183448.66278479,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33254.69707285,87003.22012489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517241.49853513,800595.66553666
2021-04-09 01:00,1751246.92209466,554945.69318042,1041438.19690739,0.0,2702998.46772764,1915209.16889905,0.0,0.0,0.0,0.0,1189030.66943,1181378.77905764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206506.77138018,85480.96532346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68412.03634388,148162.64443976,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53072.20486455,67485.21064819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749773.26658505,581108.95972887
2021-04-10 01:00,1252524.33277996,770703.7505426,889556.19034125,0.0,3032416.03171396,1623309.07676978,0.0,0.0,0.0,0.0,1327142.13717154,1103143.47871585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219201.0825595,72846.35291752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93908.60008233,122881.49875054,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76081.57989872,44572.60623179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,818903.33743699,522329.01314264
2021-04-11 01:00,1198214.20266268,965577.38236898,704281.61450665,0.0,3260456.12926305,1391052.99288261,0.0,0.0,0.0,0.0,1447086.3820259,1005474.29617899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236927.36089983,55134.05659888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106224.12341688,110201.42607256,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76227.44353542,44442.01704931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850102.90710048,500472.67460269
2021-04-12 01:00,1187517.85531541,1013021.64420053,660335.22455008,0.0,3346761.06611242,1326632.8796743,0.0,0.0,0.0,0.0,1486037.89132121,974462.81687056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238911.94291091,54376.69592674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114836.29193866,103878.42586492,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77469.36463668,43573.18687709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,877853.80627163,480707.59497752
2021-04-13 01:00,1238855.78100008,1058015.12996623,624790.10919099,0.0,3516797.99888441,1171930.24524021,0.0,0.0,0.0,0.0,1500661.14078212,973942.31402492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242960.20688701,54814.45082635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116730.54571924,102376.98819845,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77689.36463668,43701.32873028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906423.1815637,456210.98277444
2021-04-14 01:00,1311167.36766184,1076626.75418393,602371.87797668,0.0,3608806.13486445,1109116.64290921,0.0,0.0,0.0,0.0,1530598.76794471,967905.70911878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265330.04372593,32758.24274146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123703.02149916,95406.67126498,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79827.01004448,42198.25780094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,924395.93964751,445158.60863052
2021-04-15 01:00,1305844.20507811,1079250.26873111,615177.66329847,0.0,3632877.0515234,1115450.8424763,0.0,0.0,0.0,0.0,1640051.6325588,873245.55535093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265924.75494799,33260.33068688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136566.4402243,101157.59646556,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92898.83874831,30676.42909711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,931574.3119136,442867.38982141
2021-04-16 01:00,1333526.93860229,1083986.6733382,620468.55171072,0.0,3775884.85757653,986277.14137335,0.0,0.0,0.0,0.0,1644801.48356924,878942.66840327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267214.59581472,31177.71765017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137881.04144038,99472.64968301,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95238.70557154,30338.88227388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964098.74083716,422808.88878561
2021-04-17 01:00,1342334.42585511,1105759.06649356,605803.57895324,0.0,3839316.36275295,933319.49164481,0.0,0.0,0.0,0.0,1648074.04577816,893720.99190607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267364.89428751,33115.19330567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138331.18796232,103118.20530133,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94440.53507938,33496.73538176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,976570.74117335,416733.14791463
2021-04-18 01:00,1335523.30532843,1080332.03405081,599024.09225816,0.0,3846932.53025903,938906.03252369,0.0,0.0,0.0,0.0,1699367.98084536,884478.69789172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269438.5750398,33060.91773514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139189.61309754,103192.32007587,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95467.8526457,32565.5913969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995810.41766712,399394.20429229
