,date,nbMNAllnode
0,2021-08-04,1
1,2021-08-05,1
2,2021-08-06,1
3,2021-08-07,2
4,2021-08-08,3
5,2021-08-09,3
6,2021-08-10,3
7,2021-08-11,3
8,2021-08-12,3
9,2021-08-13,3
10,2021-08-14,4
11,2021-08-15,5
12,2021-08-16,29
13,2021-08-17,30
14,2021-08-18,30
15,2021-08-19,30
16,2021-08-20,30
17,2021-08-21,29
18,2021-08-22,31
19,2021-08-23,31
20,2021-08-24,31
21,2021-08-25,31
22,2021-08-26,32
23,2021-08-27,32
24,2021-08-28,32
25,2021-08-29,34
26,2021-08-30,34
27,2021-08-31,34
28,2021-09-01,34
29,2021-09-02,34
30,2021-09-03,34
31,2021-09-04,34
32,2021-09-05,34
33,2021-09-06,33
34,2021-09-07,34
35,2021-09-08,34
36,2021-09-09,35
37,2021-09-10,37
38,2021-09-11,37
39,2021-09-12,38
40,2021-09-13,38
41,2021-09-14,38
42,2021-09-15,39
43,2021-09-16,39
44,2021-09-17,39
45,2021-09-18,40
46,2021-09-19,41
47,2021-09-20,42
48,2021-09-21,42
49,2021-09-22,42
50,2021-09-23,42
51,2021-09-24,42
52,2021-09-25,40
53,2021-09-26,42
54,2021-09-27,42
55,2021-09-28,42
56,2021-09-29,43
57,2021-09-30,43
58,2021-10-01,43
59,2021-10-02,43
60,2021-10-03,43
61,2021-10-04,43
62,2021-10-05,45
63,2021-10-06,43
64,2021-10-07,44
65,2021-10-08,44
66,2021-10-09,45
67,2021-10-10,45
68,2021-10-11,45
69,2021-10-12,43
70,2021-10-13,43
71,2021-10-14,43
72,2021-10-15,44
73,2021-10-16,44
74,2021-10-17,44
75,2021-10-18,44
76,2021-10-19,44
77,2021-10-20,44
78,2021-10-21,44
79,2021-10-22,45
80,2021-10-23,45
81,2021-10-25,45
82,2021-10-26,45
83,2021-10-27,45
84,2021-10-28,45
85,2021-10-29,45
86,2021-10-30,45
87,2021-10-31,45
88,2021-11-01,44
89,2021-11-02,44
90,2021-11-03,44
91,2021-11-04,44
92,2021-11-05,44
93,2021-11-06,45
94,2021-11-07,45
95,2021-11-08,45
96,2021-11-09,46
97,2021-11-10,46
98,2021-11-11,46
99,2021-11-12,46
100,2021-11-13,46
101,2021-11-14,47
102,2021-11-15,47
103,2021-11-16,47
104,2021-11-17,47
105,2021-11-18,47
106,2021-11-19,47
107,2021-11-20,47
108,2021-11-21,47
109,2021-11-22,47
110,2021-11-23,47
111,2021-11-24,48
112,2021-11-25,48
113,2021-11-26,48
114,2021-11-27,48
115,2021-11-28,48
116,2021-11-29,50
117,2021-11-30,50
118,2021-12-01,50
119,2021-12-02,50
120,2021-12-03,50
121,2021-12-04,50
122,2021-12-06,51
123,2021-12-07,50
124,2021-12-08,50
125,2021-12-09,50
126,2021-12-10,50
127,2021-12-11,50
128,2021-12-12,50
129,2021-12-13,51
130,2021-12-14,50
131,2021-12-15,50
132,2021-12-16,51
133,2021-12-17,50
134,2021-12-18,50
135,2021-12-19,50
136,2021-12-20,51
137,2021-12-21,51
138,2021-12-22,51
139,2021-12-23,51
140,2021-12-24,51
141,2021-12-25,51
142,2021-12-26,51
143,2021-12-27,51
144,2021-12-28,51
145,2021-12-29,51
146,2021-12-30,51
147,2021-12-31,51
148,2022-01-01,51
149,2022-01-03,51
150,2022-01-04,51
151,2022-01-05,51
152,2022-01-06,51
153,2022-01-07,51
154,2022-01-08,51
155,2022-01-10,49
156,2022-01-11,49
157,2022-01-12,49
158,2022-01-13,49
159,2022-01-14,50
160,2022-01-15,50
161,2022-01-16,50
162,2022-01-17,50
163,2022-01-18,51
164,2022-01-19,51
165,2022-01-20,52
166,2022-01-21,53
167,2022-01-22,54
168,2022-01-23,54
169,2022-01-24,54
170,2022-01-25,54
171,2022-01-26,53
172,2022-01-27,53
173,2022-01-28,55
174,2022-01-29,55
175,2022-01-30,55
176,2022-01-31,55
177,2022-02-01,55
178,2022-02-02,54
179,2022-02-03,54
180,2022-02-04,54
181,2022-02-05,54
182,2022-02-06,54
183,2022-02-09,56
184,2022-02-10,56
185,2022-02-11,56
186,2022-02-12,56
187,2022-02-13,56
188,2022-02-14,57
189,2022-02-15,57
190,2022-02-16,57
191,2022-02-17,57
192,2022-02-18,57
193,2022-02-19,57
194,2022-02-20,57
195,2022-02-21,57
196,2022-02-22,57
197,2022-02-23,57
198,2022-02-24,57
199,2022-02-25,57
200,2022-02-26,57
201,2022-02-27,57
202,2022-02-28,57
203,2022-03-01,57
204,2022-03-02,57
205,2022-03-03,57
206,2022-03-04,57
207,2022-03-05,57
208,2022-03-06,57
209,2022-03-07,57
210,2022-03-08,57
211,2022-03-09,57
212,2022-03-10,57
213,2022-03-11,57
214,2022-03-12,57
215,2022-03-13,57
216,2022-03-14,57
217,2022-03-15,57
218,2022-03-16,57
219,2022-03-17,57
220,2022-03-18,57
221,2022-03-19,57
222,2022-03-20,57
223,2022-03-21,57
224,2022-03-22,57
225,2022-03-23,57
226,2022-03-24,57
227,2022-03-25,57
228,2022-03-26,57
229,2022-03-27,57
230,2022-03-28,57
231,2022-03-30,57
232,2022-03-31,57
233,2022-04-01,57
234,2022-04-02,57
235,2022-04-03,57
236,2022-04-04,57
237,2022-04-05,59
238,2022-04-06,59
239,2022-04-07,60
240,2022-04-08,60
241,2022-04-09,60
242,2022-04-10,60
243,2022-04-11,60
244,2022-04-12,60
